no,year,icbcode,gap,gap_e,gap_s,es,e,s,esdis,edis,sdis,family,gov,instit,g,size,lev,roa,mtb,country,capitalism,legal,kz
175,2017,2010,-0.12,0.04,-0.28,31.99,22.54,41.43,19.95,26.60827545,13.30108827,0,0,1,80.16,8.81,0.0726,0.1336,0.0407,3,1,1,-2.44873
175,2018,2010,-0.21,-0.05,-0.37,43.23,31.96,54.49,22.03,26.94050136,17.11003628,0,0,1,85.32,8.81,0.0045,0.1551,0.0338,3,1,1,-2.46321
175,2019,2010,-0.20,-0.06,-0.35,42.23,32.47,51.99,22.03,26.94050136,17.11003628,0,0,1,80.24,8.88,0.0046,0.1757,0.0442,3,1,1,-2.95412
175,2020,2010,-0.27,-0.06,-0.48,52.35,36.83,67.86,25.45,31.19903352,19.70979444,0,0,1,80.6,8.90,0.0341,0.1475,0.0526,3,1,1,-2.42528
175,2021,2010,-0.25,0.00,-0.51,56.73,40.9,72.56,31.25,41.22621564,21.28174123,0,0,1,79.76,8.93,0.0302,0.1528,0.0622,3,1,1,-2.34305
175,2022,2010,-0.25,-0.01,-0.49,56.17,41.28,71.05,31.38,40.44095439,22.3095526,0,0,1,77.06,8.99,0.0269,0.1805,0.0578,3,1,1,-2.36671
175,2023,2010,-0.24,0.00,-0.48,59.69,44.24,75.13,35.76,44.09543944,27.41837969,0,0,1,75.79,9.01,0.0300,0.1691,0.0522,3,1,1,-2.26362
176,2014,3010,-0.06,-0.14,0.03,9.02,15.45,2.58,3.29,1.238296587,5.350665054,0,0,1,20.94,9.86,,,,3,1,1,
176,2015,3010,-0.08,-0.18,0.01,11.45,19.02,3.88,3.29,1.238296587,5.350665054,0,0,1,24.73,9.90,1.2757,0.0035,0.0092,3,1,1,
176,2016,3010,-0.09,-0.21,0.02,12.58,21.9,3.26,3.29,1.238296587,5.350665054,0,0,1,22.08,9.91,1.3728,0.0039,0.0057,3,1,1,
176,2017,3010,-0.19,-0.21,-0.16,24.35,22.66,26.03,5.80,1.238296587,10.3688029,0,0,1,18.88,9.95,2.2893,0.0037,0.0066,3,1,1,
176,2018,3010,-0.29,-0.43,-0.15,35.09,44.7,25.48,5.80,1.238296587,10.3688029,0,0,1,19.65,9.96,2.1155,0.0030,0.0052,3,1,1,
176,2019,3010,-0.34,-0.47,-0.21,39.89,47.86,31.91,6.03,1.238296587,10.82224909,0,0,1,14.06,9.95,1.7767,0.0030,0.0038,3,1,1,
176,2020,3010,-0.38,-0.54,-0.23,47.42,61.48,33.35,9.04,7.248565388,10.82224909,0,0,1,15.29,9.97,2.3765,0.0027,0.0028,3,1,1,
176,2021,3010,-0.36,-0.55,-0.16,47.19,62.95,31.43,11.44,7.913017215,14.9637243,0,0,1,31.81,10.04,3.2229,0.0022,0.0039,3,1,1,
176,2022,3010,-0.36,-0.59,-0.12,52.74,74.41,31.07,17.04,15.34279674,18.74244256,0,0,1,34.19,10.06,3.7951,0.0021,0.0040,3,1,1,
176,2023,3010,-0.32,-0.57,-0.07,48.79,72.18,25.39,17.04,15.34279674,18.74244256,0,0,1,55.07,10.06,3.2096,0.0011,0.0036,3,1,1,
177,2014,2010,0.14,0.31,-0.03,5.97,0.61,11.33,20.24,31.833283,8.645707376,0,0,1,44.84,8.40,0.0142,0.0917,0.0209,3,1,1,
177,2015,2010,0.14,0.30,-0.03,7.24,1.37,13.11,20.75,31.833283,9.673518742,0,0,1,60.45,8.45,0.0116,0.0699,0.0173,3,1,1,-1.49046
177,2016,2010,0.10,0.25,-0.04,11.97,6.74,17.2,22.34,31.833283,12.84764208,0,0,1,45.12,8.45,0.0106,0.0624,0.0185,3,1,1,-1.42940
177,2017,2010,0.00,0.20,-0.20,21.98,11.6,32.36,22.34,31.833283,12.84764208,0,0,1,34.52,8.44,0.0096,0.0724,0.0222,3,1,1,-1.40402
177,2018,2010,-0.10,0.02,-0.23,32.77,29.46,36.08,22.34,31.833283,12.84764208,0,0,1,30.75,8.48,0.0084,0.0662,0.0270,3,1,1,-1.58054
177,2019,2010,-0.07,0.04,-0.17,30.32,27.81,32.82,23.73,31.833283,15.62877872,0,0,1,25.52,8.47,0.0077,0.0644,0.0167,3,1,1,-1.42534
177,2020,2010,-0.20,-0.14,-0.27,44.94,47.24,42.64,24.44,33.25279372,15.62877872,0,0,1,32.19,8.49,0.0071,0.0622,0.0162,3,1,1,-1.44258
177,2021,2010,-0.21,-0.17,-0.25,45.34,49.8,40.88,24.44,33.25279372,15.62877872,0,0,1,25.27,8.48,0.0063,0.0306,0.0213,3,1,1,-1.40350
177,2022,2010,-0.26,-0.22,-0.29,48.50,55.6,41.39,22.85,33.25279372,12.45465538,0,0,1,28.23,8.48,0.0097,0.0322,0.0106,3,1,1,-1.48791
177,2023,2010,0.24,0.33,0.14,0.00,0,0,23.84,33.25279372,14.41958888,0,0,1,0,8.49,0.0090,0.0383,0.0107,3,1,1,-1.42786
178,2014,5020,0.04,0.02,0.06,0.00,0,0,4.40,2.416188463,6.378476421,1,0,0,0,8.40,,,,3,1,1,
178,2015,5020,-0.01,-0.07,0.04,5.44,8.53,2.35,3.97,1.570522501,6.378476421,1,0,0,7.86,8.43,0.0062,0.0640,0.0315,3,1,1,-1.43029
178,2016,5020,-0.02,-0.08,0.05,5.80,9.96,1.64,3.97,1.570522501,6.378476421,1,0,0,7.92,8.45,0.0022,0.0760,0.0361,3,1,1,-1.55493
178,2017,5020,-0.02,-0.08,0.05,5.96,10.14,1.78,4.14,1.902748414,6.378476421,1,0,0,5.39,8.49,0.0027,0.0763,0.0353,3,1,1,-1.67987
178,2018,5020,-0.01,-0.08,0.07,5.57,9.99,1.14,4.97,1.902748414,8.041112455,1,0,0,10.59,8.51,0.0007,0.0808,0.0314,3,1,1,-1.61818
178,2019,5020,-0.22,-0.33,-0.10,26.50,34.91,18.08,4.97,1.902748414,8.041112455,1,0,0,20.98,8.53,0.0037,0.0732,0.0219,3,1,1,-1.64206
178,2020,5020,-0.23,-0.26,-0.20,36.01,42.76,29.25,13.40,17.12473573,9.673518742,1,0,0,33.44,8.52,0.0030,0.0339,0.0241,3,1,1,-1.82329
178,2021,5020,-0.23,-0.27,-0.20,37.01,44.36,29.65,13.57,17.45696164,9.673518742,1,0,0,41.33,8.57,0.0029,0.0618,0.0300,3,1,1,-1.96132
178,2022,5020,-0.26,-0.30,-0.22,39.57,47.22,31.91,13.57,17.45696164,9.673518742,1,0,0,31.59,8.61,0.0048,0.0625,0.0215,3,1,1,-2.14450
178,2023,5020,0.22,0.31,0.12,0.00,0,0,21.55,30.98761703,12.12212817,1,0,0,0,8.66,0.0059,0.0758,0.0201,3,1,1,-1.82721
179,2014,5020,,,,78.12,84.96,71.28,,.,.,0,0,1,39.25,9.03,0.8567,0.0325,0.0106,3,1,1,
179,2015,5020,-0.46,-0.39,-0.53,78.89,85.19,72.59,33.32,46.57203262,20.07255139,0,0,1,44.09,9.02,0.6181,0.0240,0.0104,3,1,1,1.67247
179,2016,5020,-0.46,-0.40,-0.52,81.84,88.6,75.08,35.69,48.53518574,22.85368803,0,0,1,51.79,8.96,0.5278,0.0088,0.0096,3,1,1,1.26022
179,2017,5020,-0.44,-0.42,-0.46,78.37,87.85,68.88,34.27,45.6961643,22.85368803,0,0,1,42.93,8.99,0.5521,0.0083,0.0148,3,1,1,1.84547
179,2018,5020,-0.52,-0.49,-0.55,83.00,87.65,78.34,30.83,38.81002718,22.85368803,0,0,1,29.47,9.03,0.5630,0.0617,0.0178,3,1,1,1.26906
179,2019,5020,-0.46,-0.37,-0.55,85.23,91.04,79.41,39.24,54.06221685,24.42563482,0,0,1,32.39,9.07,0.6663,0.0646,0.0131,3,1,1,1.27558
179,2020,5020,-0.40,-0.30,-0.50,83.12,91.95,74.29,43.14,61.85442465,24.42563482,0,0,1,19.04,9.06,0.8441,0.0393,0.0103,3,1,1,1.84790
179,2021,5020,-0.32,-0.17,-0.46,82.24,91.78,72.69,50.62,74.99244941,26.23941959,0,0,1,39.45,9.08,0.7562,0.0113,0.0121,3,1,1,1.96141
179,2022,5020,-0.38,-0.23,-0.52,83.34,89.61,77.07,45.62,66.56599215,24.66747279,0,0,1,35.28,9.14,0.6778,0.0611,0.0102,3,1,1,1.62453
179,2023,5020,0.50,0.77,0.23,0.00,0,0,50.09,76.71398369,23.45828295,0,0,1,0,9.21,0.8777,0.0509,0.0084,3,1,1,1.95818
180,2014,3510,-0.35,-0.28,-0.42,60.27,57.6,62.94,25.17,29.56810631,20.76783555,0,0,1,47.53,8.89,2.2713,0.0299,0.0355,3,1,1,
180,2015,3510,-0.43,-0.37,-0.49,70.75,72.49,69.01,27.89,35.54817276,20.22370012,0,0,1,69.13,9.04,2.0643,0.0361,0.0225,3,1,1,6.11102
180,2016,3510,-0.37,-0.15,-0.58,76.93,75.59,78.26,40.19,60.16309272,20.22370012,0,0,1,59.54,9.05,1.9382,0.0314,0.0203,3,1,1,5.67973
180,2017,3510,-0.40,-0.29,-0.50,86.21,89.19,83.22,46.63,60.19329508,33.0713422,0,0,1,62.96,9.13,2.1821,0.0341,0.0222,3,1,1,6.45761
180,2018,3510,-0.38,-0.25,-0.50,85.37,87.37,83.37,47.49,61.91482936,33.0713422,0,0,1,57.78,9.18,2.4336,0.0371,0.0190,3,1,1,7.07640
180,2019,3510,-0.35,-0.20,-0.50,84.63,86.18,83.08,49.62,66.17336152,33.0713422,0,0,1,74.81,9.25,2.5068,0.0384,0.0145,3,1,1,7.18337
180,2020,3510,-0.36,-0.19,-0.54,85.12,81.56,88.67,48.81,62.73029296,34.88512696,0,0,1,81.16,9.31,2.8164,0.0367,0.0136,3,1,1,8.14656
180,2021,3510,-0.34,-0.05,-0.62,85.38,77.23,93.52,51.86,72.45545153,31.25755744,0,0,1,58.37,9.34,2.2013,0.0362,0.0154,3,1,1,6.15009
180,2022,3510,-0.28,0.05,-0.62,80.31,67.37,93.24,51.86,72.45545153,31.25755744,0,0,1,79.59,9.37,2.1114,0.0381,0.0121,3,1,1,5.89900
180,2023,3510,,,,0.00,0,0,,.,.,0,0,1,0,9.39,1.8985,0.0428,0.0112,3,1,1,5.17948
181,2014,6510,0.01,0.03,-0.01,25.31,40.56,10.05,26.07,43.49139233,8.645707376,0,0,1,9.87,9.24,8.8448,-0.0366,0.0133,3,1,1,
181,2015,6510,0.01,0.03,-0.01,24.91,40.43,9.38,26.07,43.49139233,8.645707376,0,0,1,12.57,9.25,6.8992,0.0016,0.0152,3,1,1,22.74744
181,2016,6510,0.00,0.02,-0.02,25.73,41.11,10.35,25.65,42.64572637,8.645707376,0,0,1,10.01,9.25,6.5559,0.0117,0.0142,3,1,1,21.63522
181,2017,6510,-0.09,-0.13,-0.04,34.98,56.11,13.85,26.16,42.64572637,9.673518742,0,0,1,6.93,9.25,6.7967,0.0048,0.0122,3,1,1,22.38698
181,2018,6510,-0.20,-0.23,-0.18,46.98,66.51,27.45,26.58,43.49139233,9.673518742,0,0,1,12.58,9.28,9.2612,0.0155,0.0086,3,1,1,22.07979
181,2019,6510,-0.18,-0.22,-0.14,46.03,66.91,25.14,28.23,45.21292661,11.24546554,0,0,1,14,9.28,8.2596,0.0176,0.0068,3,1,1,20.14272
181,2020,6510,-0.23,-0.25,-0.20,50.87,70.04,31.7,28.23,45.21292661,11.24546554,0,0,1,15.3,9.28,7.5494,0.0187,0.0040,3,1,1,18.74592
181,2021,6510,-0.16,-0.16,-0.17,50.15,65.95,34.34,33.73,49.80368469,17.6541717,0,0,1,22.42,9.29,6.0808,0.0234,0.0043,3,1,1,15.66854
181,2022,6510,-0.13,-0.15,-0.11,46.83,64.56,29.09,33.73,49.80368469,17.6541717,0,0,1,22.86,9.29,6.1461,0.0064,0.0051,3,1,1,15.74655
181,2023,6510,-0.12,-0.14,-0.11,46.04,63.35,28.72,33.93,49.80368469,18.0471584,0,0,1,21.7,9.31,7.4677,-0.0063,0.0038,3,1,1,18.77162
182,2014,5020,-0.38,-0.12,-0.64,69.51,61.45,77.56,31.28,49.16943522,13.39177751,0,0,1,66.01,8.57,0.9112,0.0561,0.0217,3,1,1,
182,2015,5020,-0.43,-0.14,-0.72,71.98,63.68,80.28,29.35,50.04530353,8.645707376,0,0,1,68.4,8.68,0.5941,0.0916,0.0314,3,1,1,1.19002
182,2016,5020,-0.45,-0.18,-0.73,75.42,67.75,83.08,30.25,50.04530353,10.45949214,0,0,1,46.59,8.65,0.5766,0.0766,0.0142,3,1,1,1.15233
182,2017,5020,-0.33,-0.17,-0.50,68.38,66.69,70.06,35.27,50.04530353,20.49576784,0,0,1,55.53,8.80,0.5032,0.0746,0.0196,3,1,1,0.49525
182,2018,5020,-0.35,-0.17,-0.54,72.51,70.95,74.06,37.40,54.3038357,20.49576784,0,0,1,38.3,8.84,0.4308,0.0899,0.0231,3,1,1,0.48153
182,2019,5020,-0.33,-0.19,-0.48,71.39,72.99,69.78,38.19,54.3038357,22.06771463,0,0,1,64.35,8.86,0.4054,0.0862,0.0193,3,1,1,0.26927
182,2020,5020,-0.37,-0.24,-0.50,75.06,77.96,72.15,38.19,54.3038357,22.06771463,0,0,1,68.84,8.93,0.5920,0.0600,0.0150,3,1,1,0.87575
182,2021,5020,-0.34,-0.23,-0.45,75.83,80.06,71.59,41.92,57.4448807,26.39056832,0,0,1,82.18,8.98,0.6359,0.0444,0.0217,3,1,1,1.06127
182,2022,5020,-0.29,-0.18,-0.39,74.86,78.56,71.15,46.21,60.5859257,31.83192261,0,0,1,74.08,9.04,0.5364,0.0683,0.0160,3,1,1,0.75031
182,2023,5020,-0.23,-0.13,-0.33,67.34,73.83,60.84,44.46,61.25037753,27.66021765,0,0,1,81.39,9.11,0.5941,0.0666,0.0140,3,1,1,1.05578
183,2014,1010,-0.33,-0.32,-0.35,64.44,81.66,47.22,30.95,49.44125642,12.45465538,0,0,1,70.88,8.66,0.1937,0.0392,0.0088,3,1,1,
183,2015,1010,-0.29,-0.15,-0.42,68.02,79.85,56.19,39.45,64.39142253,14.51027811,0,0,1,66.79,8.71,0.2126,0.0389,0.0079,3,1,1,-0.12735
183,2016,1010,-0.21,-0.10,-0.33,64.40,74.39,54.4,43.08,64.39142253,21.76541717,0,0,1,65.53,8.68,0.2123,0.0151,0.0056,3,1,1,-0.05291
183,2017,1010,-0.21,-0.13,-0.29,64.10,77.11,51.08,43.08,64.39142253,21.76541717,0,0,1,66.63,8.61,0.2692,-0.1425,0.0090,3,1,1,0.11826
183,2018,1010,-0.18,-0.12,-0.24,60.70,76.12,45.28,43.08,64.39142253,21.76541717,0,0,1,61.58,8.64,0.2496,0.0277,0.0084,3,1,1,-0.11840
183,2019,1010,-0.24,-0.22,-0.26,60.41,73.25,47.56,36.31,50.86076714,21.76541717,0,0,1,63.29,8.62,0.2592,0.0079,0.0091,3,1,1,-0.00908
183,2020,1010,-0.26,-0.23,-0.28,62.26,74.61,49.9,36.48,51.19299305,21.76541717,0,0,1,61.91,8.71,0.5603,0.0245,0.0097,3,1,1,0.69336
183,2021,1010,-0.18,-0.15,-0.21,58.02,71.73,44.31,40.38,57.1730595,23.57920193,0,0,1,70.29,8.76,0.4772,0.0476,0.0205,3,1,1,0.65936
183,2022,1010,-0.20,-0.19,-0.20,61.76,80.19,43.33,42.22,60.8577469,23.57920193,0,0,1,74.98,8.82,0.4673,0.0671,0.0175,3,1,1,0.37288
183,2023,1010,-0.15,-0.14,-0.16,57.58,75.01,40.14,42.58,61.18997282,23.97218863,0,0,1,77.68,8.93,0.6447,0.0694,0.0147,3,1,1,0.90277
184,2014,6010,-0.30,-0.33,-0.27,53.93,72.89,34.97,23.82,39.77650257,7.859733978,1,0,0,70.95,9.47,1.4546,0.0127,0.0048,3,1,1,
184,2015,6010,-0.27,-0.27,-0.27,53.22,69.61,36.83,26.14,42.61552401,9.673518742,1,0,0,73.58,9.43,1.5962,-0.0482,0.0057,3,1,1,5.18447
184,2016,6010,-0.37,-0.44,-0.30,54.00,68.65,39.34,17.01,24.34309876,9.673518742,1,0,0,57.89,9.37,1.6917,-0.0140,0.0064,3,1,1,5.43751
184,2017,6010,-0.27,-0.31,-0.23,50.22,63.65,36.79,23.35,32.86016309,13.8452237,1,0,0,56.98,9.41,1.6975,0.0350,0.0106,3,1,1,5.40416
184,2018,6010,-0.23,-0.31,-0.14,49.21,63.79,34.63,26.56,32.86016309,20.25392987,1,0,0,72.86,9.46,1.0287,0.0623,0.0091,3,1,1,2.99174
184,2019,6010,-0.37,-0.37,-0.38,71.77,85.15,58.39,34.29,48.08215041,20.49576784,1,0,0,90.3,9.45,1.1297,0.0305,0.0095,3,1,1,3.20156
184,2020,6010,-0.33,-0.36,-0.30,75.23,89.3,61.15,42.13,52.88432498,31.37847642,1,0,0,86.58,9.59,1.1620,-0.0030,0.0065,3,1,1,3.08598
184,2021,6010,-0.31,-0.33,-0.29,73.50,86.37,60.62,42.13,52.88432498,31.37847642,1,0,0,50.52,9.59,1.1372,0.0107,0.0057,3,1,1,3.04962
184,2022,6010,-0.28,-0.26,-0.30,68.86,80.59,57.12,41.12,54.63606161,27.59975816,1,0,0,79.87,9.66,0.9666,0.0675,0.0061,3,1,1,2.64171
184,2023,6010,0.54,0.80,0.28,0.00,0,0,53.76,79.9154334,27.59975816,1,0,0,0,9.69,0.9312,0.0561,0.0044,3,1,1,2.38518
185,2014,5520,-0.34,-0.36,-0.31,49.97,57.96,41.98,16.44,21.62488674,11.24546554,0,0,1,75.63,8.88,0.1142,0.0670,0.0156,3,1,1,
185,2015,5520,-0.44,-0.47,-0.40,64.67,78.4,50.93,20.84,30.98761703,10.70133011,0,0,1,68.1,8.92,0.0149,0.0952,0.0217,3,1,1,-1.40751
185,2016,5520,-0.32,-0.31,-0.33,60.42,72.73,48.11,28.19,41.256418,15.11487304,0,0,1,49.48,8.90,0.0104,0.0972,0.0165,3,1,1,-1.57114
185,2017,5520,-0.33,-0.28,-0.38,66.25,79.8,52.7,33.41,51.7064331,15.11487304,0,0,1,75.08,8.93,0.0063,0.0744,0.0214,3,1,1,-1.77097
185,2018,5520,-0.31,-0.28,-0.34,65.86,83.07,48.65,35.10,55.08909695,15.11487304,0,0,1,72.83,8.96,0.0075,0.0997,0.0184,3,1,1,-1.75440
185,2019,5520,-0.37,-0.30,-0.45,72.60,85.48,59.71,35.25,55.39112051,15.11487304,0,0,1,71.6,8.95,0.0014,0.0746,0.0135,3,1,1,-1.70281
185,2020,5520,-0.39,-0.27,-0.51,76.22,85.17,67.27,37.46,58.23014195,16.68681983,0,0,1,69.35,8.95,0.0277,0.0535,0.0103,3,1,1,-1.83314
185,2021,5520,-0.29,-0.16,-0.41,77.79,83.47,72.1,49.26,67.83449109,30.68319226,0,0,1,72.5,8.97,0.0247,0.0771,0.0175,3,1,1,-1.85628
185,2022,5520,-0.25,0.00,-0.49,74.77,69.48,80.05,50.12,69.55602537,30.68319226,0,0,1,78.28,9.03,0.0516,0.0971,0.0138,3,1,1,-1.80484
185,2023,5520,-0.17,0.08,-0.42,70.51,65.6,75.41,53.68,73.51253398,33.8573156,0,0,1,74.01,9.05,0.0277,0.0997,0.0121,3,1,1,-1.73662
186,2014,5020,-0.47,-0.48,-0.46,66.64,73.12,60.15,19.35,24.70552703,13.99637243,0,0,1,42.16,9.17,0.9869,0.0232,0.0194,3,1,1,
186,2015,5020,-0.47,-0.53,-0.41,67.79,77.87,57.71,20.89,24.70552703,17.07980653,0,0,1,43.38,9.22,1.1420,0.0057,0.0251,3,1,1,3.23216
186,2016,5020,-0.42,-0.51,-0.34,66.61,82.35,50.86,24.28,31.47085473,17.07980653,0,0,1,35.63,9.22,1.1236,0.0009,0.0115,3,1,1,3.28106
186,2017,5020,-0.41,-0.48,-0.34,70.76,86.58,54.93,29.74,38.23618242,21.25151149,0,0,1,33.92,9.21,1.1016,0.0031,0.0170,3,1,1,3.52609
186,2018,5020,-0.50,-0.51,-0.48,80.86,89.68,72.04,31.03,38.23618242,23.8210399,0,0,1,43.99,9.19,0.9904,0.0065,0.0155,3,1,1,2.87576
186,2019,5020,-0.44,-0.37,-0.51,82.04,89.22,74.86,37.87,51.91784959,23.8210399,0,0,1,43.18,9.19,1.0150,0.0274,0.0121,3,1,1,2.86137
186,2020,5020,-0.40,-0.31,-0.49,82.81,92.48,73.13,42.41,61.00875868,23.8210399,0,0,1,36.79,9.21,1.4933,0.0092,0.0061,3,1,1,4.29148
186,2021,5020,-0.40,-0.29,-0.51,82.75,93.21,72.29,42.82,64.39142253,21.25151149,0,0,1,34.66,9.25,2.0146,0.0090,0.0087,3,1,1,6.09980
186,2022,5020,-0.46,-0.28,-0.63,88.39,92.81,83.97,42.82,64.39142253,21.25151149,0,0,1,67.29,9.26,1.3230,0.0389,0.0101,3,1,1,3.88425
186,2023,5020,-0.45,-0.28,-0.62,88.28,93.11,83.45,43.18,64.72364844,21.64449819,0,0,1,56.01,9.27,1.2046,0.0263,0.0134,3,1,1,3.43465
187,2014,4020,-0.02,0.00,-0.04,1.87,0,3.74,0.00,0,0,,,,14.18,8.97,,,,3,1,1,
187,2015,4020,0.00,0.00,0.00,4.70,0,9.39,4.47,0,8.948004837,,,,21.17,8.97,,,,3,1,1,0.57868
187,2016,4020,0.00,0.00,0.00,4.49,0,8.98,4.47,0,8.948004837,,,,18.98,9.00,,,,3,1,1,0.55722
187,2017,4020,0.01,0.00,0.02,3.23,0,6.46,4.47,0,8.948004837,,,,17.81,9.06,,,,3,1,1,0.78119
187,2018,4020,0.03,0.00,0.06,2.14,0,4.28,5.02,0,10.0362757,,,,16.98,9.11,0.5560,0.0588,0.0077,3,1,1,0.78130
187,2019,4020,0.04,0.00,0.07,1.49,0,2.98,5.18,0.332225914,10.0362757,,,,22.35,9.14,0.5799,0.0510,0.0070,3,1,1,0.92064
187,2020,4020,0.04,0.00,0.07,1.53,0,3.06,5.18,0.332225914,10.0362757,,,,34.77,9.18,0.6837,0.0388,0.0048,3,1,1,1.08377
187,2021,4020,0.07,-0.02,0.16,6.60,7.41,5.78,13.27,5.164602839,21.37243047,,,,26.3,9.16,0.4915,0.0575,0.0084,3,1,1,0.49908
187,2022,4020,-0.14,-0.24,-0.03,34.57,44.79,24.34,20.83,20.29598309,21.37243047,,,,34.27,9.23,0.5642,0.0673,0.0060,3,1,1,0.63291
187,2023,4020,-0.14,-0.24,-0.03,36.38,47.52,25.24,22.66,23.55783751,21.76541717,,,,37.49,9.24,0.5728,0.0461,0.0063,3,1,1,0.87568
188,2014,5020,-0.42,-0.58,-0.26,56.37,78.39,34.34,14.49,20.71881607,8.252720677,0,0,1,43.41,9.17,0.1794,0.0834,0.0159,3,1,1,
188,2015,5020,-0.43,-0.62,-0.25,57.77,81.29,34.24,14.44,19.6013289,9.280532044,0,0,1,29.62,9.25,0.2491,0.0704,0.0176,3,1,1,-0.05277
188,2016,5020,-0.43,-0.60,-0.26,59.70,84.19,35.21,16.77,23.85986107,9.673518742,0,0,1,45.22,9.25,0.2882,0.0635,0.0122,3,1,1,0.21698
188,2017,5020,-0.53,-0.68,-0.37,67.38,88,46.76,14.64,19.6013289,9.673518742,0,0,1,30.36,9.27,0.2570,0.0509,0.0142,3,1,1,0.08231
188,2018,5020,-0.55,-0.76,-0.34,69.15,93.99,44.3,14.17,17.63817578,10.70133011,0,0,1,34.35,9.31,0.3041,0.0550,0.0130,3,1,1,0.06229
188,2019,5020,-0.60,-0.76,-0.43,73.80,93.55,54.05,14.17,17.63817578,10.70133011,0,0,1,44.91,9.32,0.3199,0.0563,0.0119,3,1,1,0.20579
188,2020,5020,-0.49,-0.57,-0.42,74.65,94.06,55.24,25.26,37.02808819,13.48246675,0,0,1,36.2,9.32,0.3533,0.0399,0.0054,3,1,1,0.32650
188,2021,5020,-0.46,-0.57,-0.36,71.66,93.88,49.44,25.42,37.3603141,13.48246675,0,0,1,67.02,9.34,0.3098,0.0207,0.0075,3,1,1,0.17599
188,2022,5020,-0.48,-0.56,-0.40,74.17,93.72,54.62,26.21,37.3603141,15.05441354,0,0,1,79.22,9.45,0.4442,0.0511,0.0089,3,1,1,0.45782
188,2023,5020,-0.42,-0.54,-0.31,71.04,93.26,48.82,28.73,39.4140743,18.0471584,0,0,1,69.62,9.47,0.3922,0.0530,0.0079,3,1,1,0.14764
189,2014,4020,-0.29,-0.13,-0.45,57.28,52.73,61.82,28.26,39.89731199,16.62636034,0,0,1,74.87,8.64,0.0330,0.0552,0.0095,3,1,1,
189,2015,4020,-0.27,-0.13,-0.42,60.50,58.77,62.23,33.19,45.87737844,20.49576784,0,0,1,69.49,8.72,0.0353,0.0515,0.0118,3,1,1,-0.78369
189,2016,4020,-0.28,-0.14,-0.41,65.13,61.23,69.03,37.52,47.29688916,27.75090689,0,0,1,79.16,8.67,0.0293,0.0653,0.0212,3,1,1,-0.79343
189,2017,4020,0.30,0.34,0.27,8.21,13.49,2.92,38.43,47.29688916,29.56469166,0,0,1,17.56,8.72,0.0315,0.0942,0.0157,3,1,1,-1.11260
189,2018,4020,-0.25,-0.14,-0.37,66.17,66.12,66.22,40.71,51.85744488,29.56469166,0,0,1,85.5,8.75,0.0296,0.1014,0.0229,3,1,1,-1.06970
189,2019,4020,-0.29,-0.15,-0.44,72.49,70.1,74.88,43.19,55.24010873,31.13663845,0,0,1,90.4,8.71,0.0241,0.0833,0.0310,3,1,1,-1.00778
189,2020,4020,-0.32,-0.13,-0.51,75.53,68.13,82.93,43.51,55.24010873,31.77146312,0,0,1,88.96,8.67,0.0985,0.0724,0.0191,3,1,1,-0.92069
189,2021,4020,-0.26,-0.12,-0.39,76.31,70.64,81.97,50.79,58.62277258,42.95646917,0,0,1,82.46,8.74,0.0720,0.0533,0.0262,3,1,1,-1.27468
189,2022,4020,-0.18,0.02,-0.38,74.42,65.93,82.91,56.21,67.8948958,44.52841596,0,0,1,79.73,8.76,0.0673,0.0668,0.0196,3,1,1,-1.01748
189,2023,4020,-0.21,-0.02,-0.40,76.37,69.47,83.26,55.50,67.8948958,43.1076179,0,0,1,79.04,8.77,0.0387,0.0665,0.0168,3,1,1,-0.93349
190,2014,6010,-0.05,0.05,-0.15,51.10,52.23,49.96,46.01,56.99184536,35.0362757,0,1,0,60.13,9.60,0.1949,0.0480,0.0070,3,1,1,
190,2015,6010,-0.18,-0.14,-0.22,70.38,75.95,64.8,52.31,61.79401993,42.83555018,0,1,0,73.03,9.65,0.2060,0.0182,0.0063,3,1,1,0.08449
190,2016,6010,-0.16,-0.12,-0.20,71.72,80.63,62.81,55.61,68.37813349,42.83555018,0,1,0,70.77,9.64,0.2333,0.0038,0.0043,3,1,1,0.28881
190,2017,6010,-0.10,-0.06,-0.15,66.02,74.39,57.64,55.61,68.37813349,42.83555018,0,1,0,64.75,9.63,0.2145,0.0106,0.0054,3,1,1,0.22861
190,2018,6010,-0.14,-0.06,-0.22,72.30,80.18,64.42,58.37,73.9051646,42.83555018,0,1,0,67.51,9.63,0.2396,0.0111,0.0066,3,1,1,0.35921
190,2019,6010,-0.15,-0.01,-0.30,73.58,74.75,72.41,58.37,73.9051646,42.83555018,0,1,0,76.32,9.69,0.3709,0.0378,0.0050,3,1,1,0.67549
190,2020,6010,-0.13,-0.03,-0.23,68.86,69.91,67.81,56.02,67.13983691,44.89117291,0,1,0,63.66,9.67,0.4607,-0.0196,0.0035,3,1,1,0.98107
190,2021,6010,-0.15,-0.06,-0.23,71.37,74.55,68.19,56.73,68.55934763,44.89117291,0,1,0,75.54,9.71,0.3844,0.0466,0.0033,3,1,1,0.68422
190,2022,6010,-0.17,-0.06,-0.28,73.00,76.65,69.35,55.70,70.28088191,41.11245466,0,1,0,76.1,9.79,0.3433,0.0792,0.0051,3,1,1,0.26693
190,2023,6010,,,,72.51,76.38,68.64,,.,.,0,1,0,58.91,9.82,0.2511,0.0524,0.0044,3,1,1,0.05459
