No,ISIN CODE,Year,Board Size,CSR Sustainability Committee,Current CEO Chairman Duality,FREE FLOAT NOSH
330,JP3940400009,2021,11,N   ,N   ,68
330,JP3940400009,2022,10,Y   ,N   ,74
330,JP3940400009,2023,11,Y   ,N   ,74
330,JP3940400009,2024,,,,74
332,JP3758190007,2014,6,N   ,N   ,38
332,JP3758190007,2015,6,N   ,N   ,39
332,JP3758190007,2016,6,N   ,N   ,42
332,JP3758190007,2017,6,N   ,N   ,46
332,JP3758190007,2018,6,N   ,N   ,53
332,JP3758190007,2019,6,N   ,N   ,53
332,JP3758190007,2020,6,N   ,N   ,52
332,JP3758190007,2021,6,N   ,N   ,53
332,JP3758190007,2022,7,N   ,N   ,44
332,JP3758190007,2023,8,N   ,N   ,40
332,JP3758190007,2024,,,,40
333,JP3753000003,2014,14,Y   ,N   ,100
333,JP3753000003,2015,14,Y   ,N   ,100
333,JP3753000003,2016,14,Y   ,N   ,100
333,JP3753000003,2017,13,Y   ,N   ,100
333,JP3753000003,2018,11,Y   ,N   ,100
333,JP3753000003,2019,9,Y   ,N   ,100
333,JP3753000003,2020,8,Y   ,N   ,100
333,JP3753000003,2021,8,Y   ,N   ,100
333,JP3753000003,2022,9,Y   ,N   ,100
333,JP3753000003,2023,9,Y   ,N   ,100
333,JP3753000003,2024,12,Y   ,Y   ,94
334,JP3190000004,2014,10,Y   ,N   ,100
334,JP3190000004,2015,10,Y   ,N   ,100
334,JP3190000004,2016,11,Y   ,N   ,100
334,JP3190000004,2017,10,Y   ,N   ,95
334,JP3190000004,2018,9,Y   ,N   ,100
334,JP3190000004,2019,10,Y   ,N   ,100
334,JP3190000004,2020,10,Y   ,N   ,100
334,JP3190000004,2021,12,Y   ,N   ,95
334,JP3190000004,2022,12,Y   ,N   ,95
334,JP3190000004,2023,12,Y   ,N   ,100
334,JP3190000004,2024,11,Y   ,N   ,94
335,JP3027670003,2014,4,N   ,N   ,94
335,JP3027670003,2015,4,N   ,N   ,100
335,JP3027670003,2016,4,N   ,N   ,95
335,JP3027670003,2017,4,N   ,N   ,94
335,JP3027670003,2018,,N   ,,93
335,JP3027670003,2019,,N   ,,93
335,JP3027670003,2020,,N   ,,92
335,JP3027670003,2021,,N   ,,100
335,JP3027670003,2022,,N   ,,95
335,JP3027670003,2023,,Y   ,,95
335,JP3027670003,2024,,,,100
336,JP3173400007,2014,10,N   ,Y   ,83
336,JP3173400007,2015,10,N   ,Y   ,83
336,JP3173400007,2016,11,N   ,Y   ,78
336,JP3173400007,2017,8,N   ,Y   ,77
336,JP3173400007,2018,11,N   ,Y   ,78
336,JP3173400007,2019,9,N   ,Y   ,83
336,JP3173400007,2020,9,N   ,Y   ,83
336,JP3173400007,2021,6,N   ,Y   ,83
336,JP3173400007,2022,6,Y   ,Y   ,83
336,JP3173400007,2023,6,Y   ,Y   ,83
336,JP3173400007,2024,8,Y   ,Y   ,83
337,JP3449020001,2014,10,Y   ,N   ,100
337,JP3449020001,2015,11,Y   ,N   ,100
337,JP3449020001,2016,13,Y   ,N   ,100
337,JP3449020001,2017,13,Y   ,N   ,100
337,JP3449020001,2018,13,Y   ,N   ,95
337,JP3449020001,2019,14,Y   ,N   ,95
337,JP3449020001,2020,8,Y   ,N   ,89
337,JP3449020001,2021,8,Y   ,N   ,92
337,JP3449020001,2022,9,Y   ,N   ,90
337,JP3449020001,2023,9,Y   ,N   ,92
337,JP3449020001,2024,9,Y   ,N   ,92
338,JP3292200007,2014,16,Y   ,N   ,72
338,JP3292200007,2015,17,Y   ,N   ,72
338,JP3292200007,2016,11,Y   ,N   ,72
338,JP3292200007,2017,12,Y   ,N   ,72
338,JP3292200007,2018,12,Y   ,N   ,72
338,JP3292200007,2019,12,Y   ,N   ,72
338,JP3292200007,2020,12,Y   ,N   ,72
338,JP3292200007,2021,13,Y   ,N   ,65
338,JP3292200007,2022,6,Y   ,N   ,72
338,JP3292200007,2023,5,Y   ,N   ,72
338,JP3292200007,2024,6,Y   ,N   ,78
339,JP3194800003,2014,12,N   ,N   ,100
339,JP3194800003,2015,12,N   ,N   ,100
339,JP3194800003,2016,12,N   ,N   ,95
339,JP3194800003,2017,14,N   ,N   ,100
339,JP3194800003,2018,12,N   ,N   ,100
339,JP3194800003,2019,15,N   ,N   ,100
339,JP3194800003,2020,14,N   ,N   ,100
339,JP3194800003,2021,12,N   ,N   ,100
339,JP3194800003,2022,12,N   ,N   ,100
339,JP3194800003,2023,13,Y   ,N   ,100
339,JP3194800003,2024,12,Y   ,N   ,95
340,JP3940000007,2014,6,Y   ,N   ,100
340,JP3940000007,2015,6,Y   ,N   ,100
340,JP3940000007,2016,6,Y   ,N   ,100
340,JP3940000007,2017,5,Y   ,N   ,100
340,JP3940000007,2018,8,Y   ,N   ,89
340,JP3940000007,2019,9,Y   ,N   ,93
340,JP3940000007,2020,8,Y   ,N   ,88
340,JP3940000007,2021,9,Y   ,N   ,87
340,JP3940000007,2022,9,Y   ,N   ,94
340,JP3940000007,2023,9,Y   ,N   ,87
340,JP3940000007,2024,,,,92
341,JP3174410005,2014,13,N   ,N   ,100
341,JP3174410005,2015,14,N   ,N   ,100
341,JP3174410005,2016,15,N   ,Y   ,100
341,JP3174410005,2017,15,N   ,Y   ,100
341,JP3174410005,2018,16,N   ,Y   ,100
341,JP3174410005,2019,16,N   ,Y   ,94
341,JP3174410005,2020,14,N   ,Y   ,94
341,JP3174410005,2021,12,N   ,N   ,94
341,JP3174410005,2022,11,Y   ,N   ,100
341,JP3174410005,2023,12,Y   ,Y   ,100
341,JP3174410005,2024,,,,95
342,JP3194000000,2014,10,Y   ,Y   ,100
342,JP3194000000,2015,11,Y   ,N   ,100
342,JP3194000000,2016,11,Y   ,N   ,100
342,JP3194000000,2017,10,Y   ,N   ,100
342,JP3194000000,2018,10,Y   ,N   ,100
342,JP3194000000,2019,10,Y   ,N   ,100
342,JP3194000000,2020,9,Y   ,N   ,100
342,JP3194000000,2021,9,Y   ,N   ,94
342,JP3194000000,2022,9,Y   ,N   ,95
342,JP3194000000,2023,9,Y   ,Y   ,100
342,JP3194000000,2024,,,,100
343,JP3201200007,2014,15,Y   ,N   ,85
343,JP3201200007,2015,14,Y   ,N   ,89
343,JP3201200007,2016,12,Y   ,N   ,90
343,JP3201200007,2017,13,Y   ,N   ,89
343,JP3201200007,2018,13,Y   ,N   ,95
343,JP3201200007,2019,13,Y   ,N   ,95
343,JP3201200007,2020,15,Y   ,N   ,100
343,JP3201200007,2021,12,Y   ,N   ,88
343,JP3201200007,2022,11,Y   ,N   ,95
343,JP3201200007,2023,12,Y   ,N   ,93
343,JP3201200007,2024,,,,88
344,JP3792600003,2014,14,Y   ,N   ,50
344,JP3792600003,2015,9,Y   ,N   ,50
344,JP3792600003,2016,11,Y   ,N   ,50
344,JP3792600003,2017,13,Y   ,N   ,50
344,JP3792600003,2018,12,Y   ,N   ,50
344,JP3792600003,2019,11,Y   ,N   ,50
344,JP3792600003,2020,11,Y   ,N   ,50
344,JP3792600003,2021,9,Y   ,N   ,50
344,JP3792600003,2022,9,Y   ,Y   ,50
344,JP3792600003,2023,5,Y   ,N   ,50
344,JP3792600003,2024,,,,50
345,JP3197800000,2014,8,Y   ,N   ,95
345,JP3197800000,2015,8,Y   ,N   ,100
345,JP3197800000,2016,9,Y   ,N   ,100
345,JP3197800000,2017,7,Y   ,N   ,100
345,JP3197800000,2018,8,Y   ,N   ,100
345,JP3197800000,2019,9,Y   ,N   ,93
345,JP3197800000,2020,8,Y   ,N   ,92
345,JP3197800000,2021,8,Y   ,N   ,92
345,JP3197800000,2022,8,Y   ,N   ,100
345,JP3197800000,2023,8,Y   ,N   ,100
345,JP3197800000,2024,,,,100
346,JP3180400008,2014,14,Y   ,Y   ,100
346,JP3180400008,2015,14,Y   ,N   ,100
346,JP3180400008,2016,14,Y   ,N   ,100
346,JP3180400008,2017,14,Y   ,N   ,100
346,JP3180400008,2018,14,Y   ,N   ,100
346,JP3180400008,2019,14,Y   ,N   ,100
346,JP3180400008,2020,13,Y   ,N   ,100
346,JP3180400008,2021,10,Y   ,N   ,100
346,JP3180400008,2022,10,Y   ,N   ,100
346,JP3180400008,2023,10,Y   ,N   ,100
346,JP3180400008,2024,10,Y   ,N   ,100
347,JP3689500001,2014,6,N   ,Y   ,25
347,JP3689500001,2015,8,N   ,N   ,25
347,JP3689500001,2016,6,N   ,N   ,26
347,JP3689500001,2017,6,N   ,N   ,26
347,JP3689500001,2018,7,N   ,Y   ,26
347,JP3689500001,2019,7,N   ,N   ,26
347,JP3689500001,2020,8,N   ,N   ,26
347,JP3689500001,2021,6,N   ,N   ,26
347,JP3689500001,2022,8,N   ,N   ,26
347,JP3689500001,2023,9,N   ,N   ,26
347,JP3689500001,2024,9,Y   ,N   ,26
348,JP3198900007,2014,11,Y   ,Y   ,72
348,JP3198900007,2015,11,Y   ,Y   ,72
348,JP3198900007,2016,9,Y   ,Y   ,72
348,JP3198900007,2017,10,Y   ,Y   ,72
348,JP3198900007,2018,10,Y   ,Y   ,72
348,JP3198900007,2019,9,Y   ,Y   ,72
348,JP3198900007,2020,10,Y   ,Y   ,72
348,JP3198900007,2021,10,Y   ,Y   ,72
348,JP3198900007,2022,10,Y   ,Y   ,73
348,JP3198900007,2023,11,Y   ,Y   ,73
348,JP3198900007,2024,,,,75
349,JP3200450009,2014,16,Y   ,Y   ,89
349,JP3200450009,2015,15,Y   ,Y   ,88
349,JP3200450009,2016,16,Y   ,N   ,95
349,JP3200450009,2017,16,Y   ,N   ,95
349,JP3200450009,2018,15,Y   ,N   ,100
349,JP3200450009,2019,15,Y   ,N   ,100
349,JP3200450009,2020,13,Y   ,N   ,95
349,JP3200450009,2021,12,Y   ,N   ,100
349,JP3200450009,2022,11,Y   ,N   ,100
349,JP3200450009,2023,11,Y   ,N   ,100
349,JP3200450009,2024,11,Y   ,N   ,100
350,JP3040880001,2014,,,,100
350,JP3040880001,2015,,,,100
350,JP3040880001,2016,,,,100
350,JP3040880001,2017,,,,100
350,JP3040880001,2018,,N   ,,100
350,JP3040880001,2019,,Y   ,,95
350,JP3040880001,2020,,Y   ,,100
350,JP3040880001,2021,,Y   ,,100
350,JP3040880001,2022,,Y   ,,89
350,JP3040880001,2023,,Y   ,,95
350,JP3040880001,2024,,,,93
351,JP3283650004,2014,11,N   ,N   ,64
351,JP3283650004,2015,13,Y   ,N   ,64
351,JP3283650004,2016,13,Y   ,N   ,64
351,JP3283650004,2017,14,Y   ,N   ,64
351,JP3283650004,2018,14,Y   ,N   ,64
351,JP3283650004,2019,12,Y   ,N   ,67
351,JP3283650004,2020,10,Y   ,N   ,59
351,JP3283650004,2021,11,Y   ,N   ,68
351,JP3283650004,2022,11,Y   ,N   ,68
351,JP3283650004,2023,13,Y   ,N   ,68
351,JP3283650004,2024,,,,69
352,JP3183200009,2014,14,N   ,N   ,91
352,JP3183200009,2015,14,N   ,N   ,90
352,JP3183200009,2016,12,N   ,N   ,89
352,JP3183200009,2017,13,N   ,N   ,88
352,JP3183200009,2018,13,N   ,N   ,92
352,JP3183200009,2019,14,Y   ,N   ,92
352,JP3183200009,2020,13,Y   ,N   ,93
352,JP3183200009,2021,13,Y   ,N   ,90
352,JP3183200009,2022,15,Y   ,N   ,95
352,JP3183200009,2023,15,Y   ,N   ,95
352,JP3183200009,2024,16,Y   ,N   ,95
353,JP3188220002,2014,11,N   ,N   ,89
353,JP3188220002,2015,11,N   ,N   ,89
353,JP3188220002,2016,11,N   ,N   ,89
353,JP3188220002,2017,11,N   ,N   ,89
353,JP3188220002,2018,13,N   ,N   ,89
353,JP3188220002,2019,13,Y   ,N   ,90
353,JP3188220002,2020,13,Y   ,N   ,90
353,JP3188220002,2021,13,Y   ,N   ,90
353,JP3188220002,2022,13,Y   ,N   ,90
353,JP3188220002,2023,13,Y   ,N   ,90
353,JP3188220002,2024,,,,90
354,JP3188200004,2014,12,N   ,N   ,64
354,JP3188200004,2015,13,N   ,N   ,69
354,JP3188200004,2016,14,N   ,N   ,69
354,JP3188200004,2017,13,N   ,N   ,69
354,JP3188200004,2018,14,N   ,N   ,69
354,JP3188200004,2019,12,N   ,N   ,69
354,JP3188200004,2020,12,N   ,N   ,69
354,JP3188200004,2021,10,Y   ,N   ,69
354,JP3188200004,2022,10,Y   ,N   ,67
354,JP3188200004,2023,8,Y   ,N   ,67
354,JP3188200004,2024,,,,67
355,JP3657400002,2014,13,Y   ,N   ,93
355,JP3657400002,2015,14,Y   ,N   ,92
355,JP3657400002,2016,14,Y   ,N   ,100
355,JP3657400002,2017,16,Y   ,N   ,100
355,JP3657400002,2018,13,Y   ,N   ,100
355,JP3657400002,2019,13,Y   ,N   ,100
355,JP3657400002,2020,14,Y   ,N   ,89
355,JP3657400002,2021,12,Y   ,N   ,89
355,JP3657400002,2022,9,Y   ,N   ,89
355,JP3657400002,2023,11,Y   ,N   ,88
355,JP3657400002,2024,,,,85
356,JP3172100004,2014,12,N   ,N   ,92
356,JP3172100004,2015,11,N   ,N   ,92
356,JP3172100004,2016,10,N   ,N   ,86
356,JP3172100004,2017,9,N   ,N   ,86
356,JP3172100004,2018,11,N   ,N   ,86
356,JP3172100004,2019,11,N   ,N   ,85
356,JP3172100004,2020,11,N   ,N   ,85
356,JP3172100004,2021,11,Y   ,N   ,85
356,JP3172100004,2022,12,Y   ,N   ,85
356,JP3172100004,2023,11,Y   ,N   ,86
356,JP3172100004,2024,11,Y   ,N   ,86
357,JP3405400007,2014,12,Y   ,Y   ,95
357,JP3405400007,2015,13,Y   ,N   ,100
357,JP3405400007,2016,13,Y   ,N   ,92
357,JP3405400007,2017,13,Y   ,N   ,94
357,JP3405400007,2018,10,Y   ,N   ,100
357,JP3405400007,2019,10,Y   ,N   ,100
357,JP3405400007,2020,9,Y   ,Y   ,100
357,JP3405400007,2021,10,Y   ,N   ,95
357,JP3405400007,2022,9,Y   ,N   ,95
357,JP3405400007,2023,11,Y   ,N   ,100
357,JP3405400007,2024,,,,95
358,JP3780100008,2014,7,N   ,N   ,80
358,JP3780100008,2015,7,N   ,N   ,79
358,JP3780100008,2016,10,N   ,N   ,74
358,JP3780100008,2017,10,N   ,N   ,80
358,JP3780100008,2018,10,N   ,N   ,75
358,JP3780100008,2019,10,N   ,N   ,81
358,JP3780100008,2020,10,Y   ,N   ,75
358,JP3780100008,2021,10,Y   ,N   ,81
358,JP3780100008,2022,9,Y   ,N   ,87
358,JP3780100008,2023,9,Y   ,N   ,87
358,JP3780100008,2024,,,,87
359,JP3320800000,2014,10,Y   ,N   ,94
359,JP3320800000,2015,10,Y   ,N   ,94
359,JP3320800000,2016,9,Y   ,N   ,100
359,JP3320800000,2017,11,Y   ,Y   ,100
359,JP3320800000,2018,10,Y   ,N   ,100
359,JP3320800000,2019,10,Y   ,N   ,95
359,JP3320800000,2020,10,Y   ,N   ,94
359,JP3320800000,2021,10,Y   ,N   ,94
359,JP3320800000,2022,10,Y   ,N   ,95
359,JP3320800000,2023,11,Y   ,N   ,100
359,JP3320800000,2024,,,,84
360,JP3888300005,2014,10,Y   ,N   ,94
360,JP3888300005,2015,8,Y   ,N   ,100
360,JP3888300005,2016,5,Y   ,N   ,92
360,JP3888300005,2017,7,Y   ,N   ,93
360,JP3888300005,2018,8,Y   ,N   ,93
360,JP3888300005,2019,8,Y   ,N   ,92
360,JP3888300005,2020,8,Y   ,N   ,92
360,JP3888300005,2021,8,Y   ,Y   ,87
360,JP3888300005,2022,8,Y   ,N   ,94
360,JP3888300005,2023,8,Y   ,N   ,94
360,JP3888300005,2024,8,Y   ,N   ,94
361,JP3836750004,2014,,,,60
361,JP3836750004,2015,,,,66
361,JP3836750004,2016,,,,75
361,JP3836750004,2017,,,,75
361,JP3836750004,2018,,,,81
361,JP3836750004,2019,7,Y   ,N   ,80
361,JP3836750004,2020,7,Y   ,N   ,80
361,JP3836750004,2021,7,Y   ,N   ,79
361,JP3836750004,2022,7,Y   ,N   ,80
361,JP3836750004,2023,7,Y   ,N   ,80
361,JP3836750004,2024,,,,73
362,JP3284600008,2014,14,N   ,N   ,80
362,JP3284600008,2015,14,N   ,N   ,80
362,JP3284600008,2016,14,N   ,Y   ,80
362,JP3284600008,2017,13,N   ,Y   ,80
362,JP3284600008,2018,14,Y   ,Y   ,80
362,JP3284600008,2019,15,Y   ,Y   ,80
362,JP3284600008,2020,14,Y   ,Y   ,80
362,JP3284600008,2021,14,Y   ,Y   ,80
362,JP3284600008,2022,14,Y   ,Y   ,80
362,JP3284600008,2023,10,Y   ,Y   ,80
362,JP3284600008,2024,,,,79
363,JP3771800004,2014,13,N   ,N   ,95
363,JP3771800004,2015,14,N   ,N   ,95
363,JP3771800004,2016,14,N   ,N   ,89
363,JP3771800004,2017,14,N   ,N   ,88
363,JP3771800004,2018,12,N   ,N   ,89
363,JP3771800004,2019,12,Y   ,N   ,95
363,JP3771800004,2020,13,Y   ,N   ,89
363,JP3771800004,2021,11,Y   ,N   ,89
363,JP3771800004,2022,12,Y   ,N   ,95
363,JP3771800004,2023,11,Y   ,N   ,95
363,JP3771800004,2024,,,,95
364,JP3801600002,2014,,,,65
364,JP3801600002,2015,,,,86
364,JP3801600002,2016,,,,82
364,JP3801600002,2017,,,,82
364,JP3801600002,2018,10,N   ,N   ,95
364,JP3801600002,2019,10,N   ,N   ,79
364,JP3801600002,2020,12,N   ,N   ,88
364,JP3801600002,2021,12,N   ,N   ,83
364,JP3801600002,2022,10,N   ,N   ,78
364,JP3801600002,2023,9,Y   ,N   ,75
364,JP3801600002,2024,,,,100
365,JP3170800001,2014,12,N   ,Y   ,100
365,JP3170800001,2015,12,N   ,Y   ,100
365,JP3170800001,2016,16,N   ,Y   ,94
365,JP3170800001,2017,14,N   ,N   ,93
365,JP3170800001,2018,9,N   ,N   ,100
365,JP3170800001,2019,9,N   ,N   ,91
365,JP3170800001,2020,8,N   ,N   ,85
365,JP3170800001,2021,8,Y   ,Y   ,93
365,JP3170800001,2022,7,Y   ,Y   ,93
365,JP3170800001,2023,7,Y   ,Y   ,100
365,JP3170800001,2024,,,,95
366,JP3855900001,2014,,,,43
366,JP3855900001,2015,8,Y   ,N   ,43
366,JP3855900001,2016,9,Y   ,N   ,44
366,JP3855900001,2017,8,Y   ,N   ,44
366,JP3855900001,2018,6,Y   ,N   ,44
366,JP3855900001,2019,6,Y   ,N   ,44
366,JP3855900001,2020,8,Y   ,N   ,44
366,JP3855900001,2021,8,Y   ,N   ,44
366,JP3855900001,2022,8,Y   ,N   ,44
366,JP3855900001,2023,8,Y   ,N   ,44
366,JP3855900001,2024,,,,44
367,JP3627000007,2014,11,Y   ,N   ,83
367,JP3627000007,2015,12,Y   ,N   ,88
367,JP3627000007,2016,12,Y   ,N   ,88
367,JP3627000007,2017,11,Y   ,N   ,88
367,JP3627000007,2018,12,Y   ,N   ,88
367,JP3627000007,2019,11,Y   ,N   ,88
367,JP3627000007,2020,12,Y   ,N   ,88
367,JP3627000007,2021,12,Y   ,N   ,87
367,JP3627000007,2022,12,Y   ,N   ,87
367,JP3627000007,2023,7,Y   ,N   ,87
367,JP3627000007,2024,,,,87
368,JP3197600004,2014,11,Y   ,N   ,100
368,JP3197600004,2015,11,Y   ,N   ,100
368,JP3197600004,2016,7,Y   ,N   ,100
368,JP3197600004,2017,9,Y   ,N   ,100
368,JP3197600004,2018,7,Y   ,N   ,100
368,JP3197600004,2019,8,Y   ,N   ,100
368,JP3197600004,2020,8,Y   ,N   ,100
368,JP3197600004,2021,8,Y   ,N   ,100
368,JP3197600004,2022,8,Y   ,N   ,100
368,JP3197600004,2023,8,Y   ,N   ,100
368,JP3197600004,2024,7,Y   ,N   ,100
369,JP3629000005,2014,25,Y   ,N   ,100
369,JP3629000005,2015,26,Y   ,N   ,100
369,JP3629000005,2016,26,Y   ,N   ,100
369,JP3629000005,2017,23,Y   ,N   ,100
369,JP3629000005,2018,23,Y   ,N   ,100
369,JP3629000005,2019,21,Y   ,N   ,100
369,JP3629000005,2020,15,Y   ,N   ,100
369,JP3629000005,2021,16,Y   ,N   ,100
369,JP3629000005,2022,10,Y   ,N   ,100
369,JP3629000005,2023,10,Y   ,N   ,100
369,JP3629000005,2024,9,Y   ,N   ,100
370,JP3160670000,2014,22,N   ,Y   ,95
370,JP3160670000,2015,23,N   ,Y   ,95
370,JP3160670000,2016,22,N   ,Y   ,95
370,JP3160670000,2017,21,N   ,Y   ,95
370,JP3160670000,2018,24,N   ,Y   ,95
370,JP3160670000,2019,23,N   ,Y   ,95
370,JP3160670000,2020,9,N   ,Y   ,100
370,JP3160670000,2021,10,N   ,Y   ,100
370,JP3160670000,2022,10,N   ,Y   ,95
370,JP3160670000,2023,11,N   ,Y   ,100
370,JP3160670000,2024,,,,100
371,JP3967200001,2014,15,N   ,Y   ,55
371,JP3967200001,2015,13,N   ,Y   ,60
371,JP3967200001,2016,9,N   ,Y   ,63
371,JP3967200001,2017,8,N   ,Y   ,56
371,JP3967200001,2018,8,N   ,Y   ,63
371,JP3967200001,2019,8,N   ,Y   ,63
371,JP3967200001,2020,8,N   ,Y   ,63
371,JP3967200001,2021,9,Y   ,Y   ,58
371,JP3967200001,2022,10,Y   ,Y   ,58
371,JP3967200001,2023,12,Y   ,Y   ,69
371,JP3967200001,2024,,,,69
372,JP3637300009,2014,5,N   ,N   ,73
372,JP3637300009,2015,6,N   ,N   ,81
372,JP3637300009,2016,6,N   ,N   ,84
372,JP3637300009,2017,7,N   ,N   ,83
372,JP3637300009,2018,7,N   ,N   ,82
372,JP3637300009,2019,7,N   ,N   ,81
372,JP3637300009,2020,7,N   ,N   ,84
372,JP3637300009,2021,6,N   ,N   ,83
372,JP3637300009,2022,6,N   ,N   ,84
372,JP3637300009,2023,6,Y   ,N   ,90
372,JP3637300009,2024,,,,91
373,JP3164720009,2014,5,Y   ,Y   ,8
373,JP3164720009,2015,5,Y   ,Y   ,8
373,JP3164720009,2016,6,Y   ,Y   ,8
373,JP3164720009,2017,6,Y   ,N   ,17
373,JP3164720009,2018,5,Y   ,N   ,16
373,JP3164720009,2019,6,Y   ,N   ,54
373,JP3164720009,2020,7,Y   ,N   ,59
373,JP3164720009,2021,6,Y   ,N   ,59
373,JP3164720009,2022,5,N   ,N   ,72
373,JP3164720009,2023,5,N   ,N   ,83
373,JP3164720009,2024,,,,95
374,JP3755200007,2014,,,,67
374,JP3755200007,2015,,,,63
374,JP3755200007,2016,,,,71
374,JP3755200007,2017,,,,72
374,JP3755200007,2018,,,,70
374,JP3755200007,2019,,,,77
374,JP3755200007,2020,7,N   ,N   ,71
374,JP3755200007,2021,8,N   ,N   ,77
374,JP3755200007,2022,8,N   ,N   ,70
374,JP3755200007,2023,8,Y   ,N   ,68
374,JP3755200007,2024,,,,70
375,JP3974450003,2014,,,,87
375,JP3974450003,2015,,,,81
375,JP3974450003,2016,,,,82
375,JP3974450003,2017,,,,83
375,JP3974450003,2018,,,,88
375,JP3974450003,2019,20,N   ,Y   ,88
375,JP3974450003,2020,17,N   ,Y   ,88
375,JP3974450003,2021,17,Y   ,Y   ,88
375,JP3974450003,2022,17,Y   ,Y   ,88
375,JP3974450003,2023,18,Y   ,Y   ,88
375,JP3974450003,2024,,,,88
376,JP3802300008,2014,6,Y   ,Y   ,68
376,JP3802300008,2015,6,Y   ,Y   ,67
376,JP3802300008,2016,6,Y   ,Y   ,65
376,JP3802300008,2017,6,Y   ,Y   ,64
376,JP3802300008,2018,5,Y   ,Y   ,63
376,JP3802300008,2019,9,Y   ,Y   ,63
376,JP3802300008,2020,9,Y   ,Y   ,58
376,JP3802300008,2021,9,Y   ,Y   ,63
376,JP3802300008,2022,8,Y   ,Y   ,63
376,JP3802300008,2023,10,Y   ,Y   ,65
376,JP3802300008,2024,,,,68
377,JP3571400005,2014,14,Y   ,Y   ,100
377,JP3571400005,2015,12,Y   ,Y   ,100
377,JP3571400005,2016,10,Y   ,Y   ,93
377,JP3571400005,2017,14,Y   ,N   ,93
377,JP3571400005,2018,13,Y   ,N   ,92
377,JP3571400005,2019,12,Y   ,N   ,91
377,JP3571400005,2020,11,Y   ,N   ,100
377,JP3571400005,2021,11,Y   ,N   ,100
377,JP3571400005,2022,11,Y   ,N   ,100
377,JP3571400005,2023,6,Y   ,N   ,100
377,JP3571400005,2024,6,Y   ,N   ,100
378,JP3973400009,2014,11,Y   ,Y   ,100
378,JP3973400009,2015,12,N   ,N   ,100
378,JP3973400009,2016,10,N   ,N   ,83
378,JP3973400009,2017,12,N   ,N   ,75
378,JP3973400009,2018,11,N   ,N   ,82
378,JP3973400009,2019,10,Y   ,N   ,72
378,JP3973400009,2020,9,Y   ,N   ,73
378,JP3973400009,2021,9,Y   ,N   ,73
378,JP3973400009,2022,10,Y   ,N   ,100
378,JP3973400009,2023,8,Y   ,N   ,100
378,JP3973400009,2024,,,,100
379,JP3970300004,2014,5,Y   ,N   ,100
379,JP3970300004,2015,7,Y   ,N   ,76
379,JP3970300004,2016,7,Y   ,N   ,82
379,JP3970300004,2017,7,Y   ,N   ,93
379,JP3970300004,2018,5,Y   ,N   ,93
379,JP3970300004,2019,6,Y   ,N   ,94
379,JP3970300004,2020,8,Y   ,N   ,94
379,JP3970300004,2021,6,Y   ,N   ,100
379,JP3970300004,2022,6,Y   ,Y   ,100
379,JP3970300004,2023,7,Y   ,N   ,95
379,JP3970300004,2024,8,Y   ,N   ,100
380,JP3977400005,2014,6,Y   ,N   ,80
380,JP3977400005,2015,7,Y   ,N   ,75
380,JP3977400005,2016,7,Y   ,N   ,72
380,JP3977400005,2017,7,Y   ,N   ,72
380,JP3977400005,2018,7,Y   ,N   ,73
380,JP3977400005,2019,7,Y   ,N   ,75
380,JP3977400005,2020,7,Y   ,N   ,81
380,JP3977400005,2021,7,Y   ,N   ,82
380,JP3977400005,2022,5,Y   ,N   ,75
380,JP3977400005,2023,5,Y   ,N   ,77
380,JP3977400005,2024,,,,71
381,JP3269600007,2014,14,Y   ,N   ,100
381,JP3269600007,2015,14,Y   ,N   ,100
381,JP3269600007,2016,14,Y   ,N   ,100
381,JP3269600007,2017,12,Y   ,N   ,100
381,JP3269600007,2018,11,Y   ,N   ,100
381,JP3269600007,2019,13,Y   ,N   ,94
381,JP3269600007,2020,12,Y   ,N   ,94
381,JP3269600007,2021,12,Y   ,N   ,94
381,JP3269600007,2022,11,Y   ,N   ,94
381,JP3269600007,2023,11,Y   ,N   ,94
381,JP3269600007,2024,,,,94
382,JP3822000000,2014,12,N   ,N   ,100
382,JP3822000000,2015,10,N   ,N   ,100
382,JP3822000000,2016,11,N   ,N   ,100
382,JP3822000000,2017,8,N   ,N   ,100
382,JP3822000000,2018,8,N   ,N   ,93
382,JP3822000000,2019,8,Y   ,N   ,85
382,JP3822000000,2020,8,Y   ,N   ,86
382,JP3822000000,2021,8,Y   ,N   ,100
382,JP3822000000,2022,8,Y   ,N   ,100
382,JP3822000000,2023,8,Y   ,N   ,100
382,JP3822000000,2024,,,,95
383,JP3982800009,2014,13,Y   ,N   ,93
383,JP3982800009,2015,13,Y   ,N   ,88
383,JP3982800009,2016,11,Y   ,N   ,93
383,JP3982800009,2017,11,Y   ,N   ,93
383,JP3982800009,2018,10,Y   ,N   ,93
383,JP3982800009,2019,8,Y   ,N   ,93
383,JP3982800009,2020,13,Y   ,N   ,91
383,JP3982800009,2021,11,Y   ,N   ,90
383,JP3982800009,2022,11,Y   ,N   ,90
383,JP3982800009,2023,13,Y   ,N   ,90
383,JP3982800009,2024,13,Y   ,N   ,90
384,JP3966800009,2014,10,N   ,N   ,62
384,JP3966800009,2015,10,N   ,N   ,67
384,JP3966800009,2016,11,N   ,N   ,67
384,JP3966800009,2017,12,N   ,N   ,62
384,JP3966800009,2018,9,N   ,N   ,67
