Name,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
SEMEN INDONESIA - CSR Sustainability Committee,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,NA
SEMEN INDONESIA - FREE FLOAT NOSH,49,49,49,49,49,49,49,49,49,49,49
GUDANG GARAM - Board Size,4,4,4,4,4,4,4,4,4,4,NA
GUDANG GARAM - Current CEO Chairman Duality,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,NA
GUDANG GARAM - CSR Sustainability Committee,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,NA
GUDANG GARAM - FREE FLOAT NOSH,24,24,24,24,24,24,24,24,24,24,24
INDOSAT - Board Size,11,10,10,10,11,10,10,21,19,15,NA
INDOSAT - Current CEO Chairman Duality,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,NA
INDOSAT - CSR Sustainability Committee,Y   ,Y   ,Y   ,Y   ,N   ,N   ,N   ,N   ,N   ,N   ,NA
INDOSAT - FREE FLOAT NOSH,15,15,21,21,21,21,21,21,14,16,16
VALE INDONESIA - Board Size,11,10,10,10,6,5,10,10,10,10,NA
VALE INDONESIA - Current CEO Chairman Duality,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,NA
VALE INDONESIA - CSR Sustainability Committee,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,N   ,N   ,Y   ,Y   ,NA
VALE INDONESIA - FREE FLOAT NOSH,21,21,21,21,21,21,21,21,21,21,21
INDOFOOD SUKSES MAKMUR - Board Size,9,9,9,9,9,8,8,8,7,8,NA
INDOFOOD SUKSES MAKMUR - Current CEO Chairman Duality,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,NA
INDOFOOD SUKSES MAKMUR - CSR Sustainability Committee,N   ,N   ,N   ,N   ,N   ,N   ,N   ,Y   ,Y   ,Y   ,NA
INDOFOOD SUKSES MAKMUR - FREE FLOAT NOSH,50,50,50,50,50,50,50,50,50,50,50
INDAH KIAT PULP & PAPER - Board Size,NA,NA,NA,7,7,7,7,7,8,7,NA
INDAH KIAT PULP & PAPER - Current CEO Chairman Duality,NA,NA,NA,N   ,N   ,N   ,N   ,N   ,N   ,N   ,NA
INDAH KIAT PULP & PAPER - CSR Sustainability Committee,NA,NA,NA,N   ,N   ,N   ,N   ,N   ,N   ,Y   ,NA
INDAH KIAT PULP & PAPER - FREE FLOAT NOSH,47,47,47,47,47,47,47,47,47,47,43
HM SAMPOERNA - Board Size,NA,6,6,6,7,7,4,4,4,4,NA
HM SAMPOERNA - Current CEO Chairman Duality,NA,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,NA
HM SAMPOERNA - CSR Sustainability Committee,NA,N   ,N   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,NA
HM SAMPOERNA - FREE FLOAT NOSH,2,2,8,8,8,8,8,8,8,8,8
ICT.TUNGGAL PRAKARSA - Board Size,7,7,7,7,7,7,6,7,7,7,NA
ICT.TUNGGAL PRAKARSA - Current CEO Chairman Duality,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,NA
ICT.TUNGGAL PRAKARSA - CSR Sustainability Committee,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,NA
ICT.TUNGGAL PRAKARSA - FREE FLOAT NOSH,36,36,36,49,49,49,49,49,49,49,49
INDO TAMBANGRAYA MEGAH - Board Size,7,6,7,7,6,6,7,7,8,8,NA
INDO TAMBANGRAYA MEGAH - Current CEO Chairman Duality,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,NA
INDO TAMBANGRAYA MEGAH - CSR Sustainability Committee,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,NA
INDO TAMBANGRAYA MEGAH - FREE FLOAT NOSH,35,35,29,29,35,35,35,35,35,35,35
PABRIK KERTAS TJIWIKIMIA - Board Size,NA,NA,NA,6,7,7,7,7,8,7,NA
PABRIK KERTAS TJIWIKIMIA - Current CEO Chairman Duality,NA,NA,NA,N   ,N   ,N   ,N   ,N   ,N   ,N   ,NA
PABRIK KERTAS TJIWIKIMIA - CSR Sustainability Committee,NA,NA,NA,N   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,NA
PABRIK KERTAS TJIWIKIMIA - FREE FLOAT NOSH,40,40,40,40,34,40,33,40,40,40,40
JASA MARGA - Board Size,6,6,6,6,6,6,5,6,6,7,NA
JASA MARGA - Current CEO Chairman Duality,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,NA
JASA MARGA - CSR Sustainability Committee,N   ,N   ,N   ,N   ,N   ,Y   ,Y   ,Y   ,Y   ,Y   ,NA
JASA MARGA - FREE FLOAT NOSH,30,30,30,30,30,30,30,30,30,30,30
KALBE FARMA - Board Size,7,7,7,7,6,7,7,7,7,7,NA
KALBE FARMA - Current CEO Chairman Duality,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,NA
KALBE FARMA - CSR Sustainability Committee,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,NA
KALBE FARMA - FREE FLOAT NOSH,43,43,43,43,43,43,43,43,42,42,42
MATAHARI DEPARTMENT - Board Size,5,8,9,9,8,5,4,6,6,6,NA
MATAHARI DEPARTMENT - Current CEO Chairman Duality,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,NA
MATAHARI DEPARTMENT - CSR Sustainability Committee,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,Y   ,Y   ,NA
MATAHARI DEPARTMENT - FREE FLOAT NOSH,54,80,80,83,83,83,82,70,43,52,48
MEDIA NUSNT.CITRA - Board Size,6,6,3,3,5,3,3,3,4,4,NA
MEDIA NUSNT.CITRA - Current CEO Chairman Duality,N   ,N   ,Y   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,NA
MEDIA NUSNT.CITRA - CSR Sustainability Committee,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,NA
MEDIA NUSNT.CITRA - FREE FLOAT NOSH,41,44,37,41,42,43,46,54,54,54,54
PERUSAHAAN GAS NEGARA - Board Size,6,6,6,6,5,6,6,6,6,6,NA
PERUSAHAAN GAS NEGARA - Current CEO Chairman Duality,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,NA
PERUSAHAAN GAS NEGARA - CSR Sustainability Committee,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,NA
