Name,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
SINOPEC KANTONS HOLDINGS - CSR Sustainability Committee,N   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,NA
SINOPEC KANTONS HOLDINGS - FREE FLOAT NOSH,28,28,28,40,40,40,40,40,40,40,40
SINO LAND - Board Size,11,11,11,11,11,10,11,10,10,11,NA
SINO LAND - Current CEO Chairman Duality,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,NA
SINO LAND - CSR Sustainability Committee,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,NA
SINO LAND - FREE FLOAT NOSH,50,50,49,49,47,47,46,46,45,45,44
HUABAO INTL.HDG. - Board Size,10,10,9,9,9,8,8,7,9,9,NA
HUABAO INTL.HDG. - Current CEO Chairman Duality,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,NA
HUABAO INTL.HDG. - CSR Sustainability Committee,N   ,N   ,N   ,N   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,NA
HUABAO INTL.HDG. - FREE FLOAT NOSH,56,64,54,19,19,26,26,26,29,29,29
SHANGHAI INDUSTRIAL - Board Size,10,9,9,8,8,8,8,8,7,6,NA
SHANGHAI INDUSTRIAL - Current CEO Chairman Duality,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,NA
SHANGHAI INDUSTRIAL - CSR Sustainability Committee,N   ,N   ,N   ,N   ,N   ,Y   ,Y   ,Y   ,Y   ,Y   ,NA
SHANGHAI INDUSTRIAL - FREE FLOAT NOSH,43,43,42,41,41,40,38,37,37,37,37
SJM HOLDINGS - Board Size,13,13,13,13,12,12,12,12,11,10,NA
SJM HOLDINGS - Current CEO Chairman Duality,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,NA
SJM HOLDINGS - CSR Sustainability Committee,N   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,NA
SJM HOLDINGS - FREE FLOAT NOSH,31,32,38,38,38,38,38,38,37,37,37
SKYWORTH GROUP - Board Size,8,8,8,8,8,8,9,9,8,8,NA
SKYWORTH GROUP - Current CEO Chairman Duality,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,NA
SKYWORTH GROUP - CSR Sustainability Committee,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,Y   ,Y   ,NA
SKYWORTH GROUP - FREE FLOAT NOSH,56,67,62,61,61,56,60,55,54,51,49
SHANGRI - Board Size,10,10,11,9,8,7,8,7,8,8,NA
SHANGRI - Current CEO Chairman Duality,Y   ,Y   ,Y   ,Y   ,N   ,N   ,N   ,N   ,N   ,N   ,NA
SHANGRI - CSR Sustainability Committee,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,NA
SHANGRI - FREE FLOAT NOSH,46,37,37,37,36,36,36,36,36,36,36
KINGSTON FINANCIAL GROUP - Board Size,NA,NA,NA,7,7,7,7,7,7,NA,NA
KINGSTON FINANCIAL GROUP - Current CEO Chairman Duality,NA,NA,NA,N   ,N   ,N   ,N   ,N   ,N   ,NA,NA
KINGSTON FINANCIAL GROUP - CSR Sustainability Committee,NA,NA,NA,N   ,N   ,N   ,N   ,N   ,N   ,NA,NA
KINGSTON FINANCIAL GROUP - FREE FLOAT NOSH,29,26,26,26,26,26,25,25,25,25,25
SWIRE PROPERTIES - Board Size,15,14,12,12,11,12,12,13,13,14,NA
SWIRE PROPERTIES - Current CEO Chairman Duality,N   ,N   ,N   ,N   ,N   ,N   ,N   ,Y   ,N   ,N   ,NA
SWIRE PROPERTIES - CSR Sustainability Committee,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,NA
SWIRE PROPERTIES - FREE FLOAT NOSH,18,18,18,18,18,18,18,18,18,18,18
SWIRE PACIFIC 'A' - Board Size,17,16,14,13,12,12,12,14,15,13,NA
SWIRE PACIFIC 'A' - Current CEO Chairman Duality,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,NA
SWIRE PACIFIC 'A' - CSR Sustainability Committee,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,NA
SWIRE PACIFIC 'A' - FREE FLOAT NOSH,54,50,46,54,54,54,55,52,51,48,47
YOUZAN TECHNOLOGY - Board Size,NA,NA,NA,NA,NA,11,11,6,7,7,NA
YOUZAN TECHNOLOGY - Current CEO Chairman Duality,NA,NA,NA,NA,NA,N   ,N   ,Y   ,Y   ,Y   ,NA
YOUZAN TECHNOLOGY - CSR Sustainability Committee,NA,NA,NA,NA,NA,Y   ,Y   ,Y   ,Y   ,Y   ,NA
YOUZAN TECHNOLOGY - FREE FLOAT NOSH,75,77,78,81,69,84,85,86,86,86,72
HAITONG INTL.SECS.GP. - Board Size,NA,NA,NA,NA,NA,15,14,12,12,NA,NA
HAITONG INTL.SECS.GP. - Current CEO Chairman Duality,NA,NA,NA,NA,NA,N   ,N   ,N   ,N   ,NA,NA
HAITONG INTL.SECS.GP. - CSR Sustainability Committee,NA,NA,NA,NA,NA,Y   ,Y   ,Y   ,Y   ,NA,NA
HAITONG INTL.SECS.GP. - FREE FLOAT NOSH,52,67,42,38,37,36,36,37,35,47,27
PCCW - Board Size,16,16,16,16,16,15,15,14,11,13,NA
PCCW - Current CEO Chairman Duality,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,NA
PCCW - CSR Sustainability Committee,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,NA
PCCW - FREE FLOAT NOSH,54,54,53,53,53,53,53,51,51,51,50
TECHTRONIC INDS. - Board Size,11,11,12,12,12,11,12,11,12,12,14
TECHTRONIC INDS. - Current CEO Chairman Duality,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   
TECHTRONIC INDS. - CSR Sustainability Committee,N   ,N   ,N   ,N   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   
TECHTRONIC INDS. - FREE FLOAT NOSH,74,75,77,82,82,77,77,82,82,76,73
TELEVISION BROADCASTS - Board Size,12,12,12,11,11,13,11,8,8,7,NA
TELEVISION BROADCASTS - Current CEO Chairman Duality,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,NA
TELEVISION BROADCASTS - CSR Sustainability Committee,N   ,N   ,N   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,NA
TELEVISION BROADCASTS - FREE FLOAT NOSH,64,68,74,74,74,74,74,78,78,78,78
CHINA UNICOM (HONG KONG) - Board Size,11,9,8,9,10,10,8,7,8,7,NA
CHINA UNICOM (HONG KONG) - Current CEO Chairman Duality,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,NA
CHINA UNICOM (HONG KONG) - CSR Sustainability Committee,N   ,N   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,NA
CHINA UNICOM (HONG KONG) - FREE FLOAT NOSH,19,25,25,25,19,19,20,20,20,20,20
VINDA INTERNATIONAL HDG. - Board Size,NA,NA,NA,NA,NA,12,11,13,12,12,NA
VINDA INTERNATIONAL HDG. - Current CEO Chairman Duality,NA,NA,NA,NA,NA,N   ,N   ,N   ,N   ,N   ,NA
VINDA INTERNATIONAL HDG. - CSR Sustainability Committee,NA,NA,NA,NA,NA,Y   ,Y   ,Y   ,Y   ,Y   ,NA
VINDA INTERNATIONAL HDG. - FREE FLOAT NOSH,17,17,18,17,25,25,25,21,27,28,1
VITASOY INTL.HDG. - Board Size,NA,NA,NA,NA,11,11,11,11,11,11,NA
VITASOY INTL.HDG. - Current CEO Chairman Duality,NA,NA,NA,NA,N   ,N   ,N   ,N   ,N   ,N   ,NA
VITASOY INTL.HDG. - CSR Sustainability Committee,NA,NA,NA,NA,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,NA
VITASOY INTL.HDG. - FREE FLOAT NOSH,72,64,64,67,66,74,72,70,69,69,70
VTECH HOLDINGS - Board Size,NA,NA,NA,NA,NA,7,8,8,8,9,9
VTECH HOLDINGS - Current CEO Chairman Duality,NA,NA,NA,NA,NA,Y   ,Y   ,Y   ,Y   ,Y   ,Y   
VTECH HOLDINGS - CSR Sustainability Committee,NA,NA,NA,NA,NA,Y   ,Y   ,Y   ,Y   ,Y   ,Y   
VTECH HOLDINGS - FREE FLOAT NOSH,41,39,48,48,53,55,60,65,63,63,63
BEIJING ENTERPRISES - Board Size,18,19,15,15,15,14,14,15,14,14,NA
BEIJING ENTERPRISES - Current CEO Chairman Duality,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,NA
BEIJING ENTERPRISES - CSR Sustainability Committee,N   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,NA
BEIJING ENTERPRISES - FREE FLOAT NOSH,49,56,56,56,58,59,54,45,46,45,45
SINOFERT HOLDINGS - Board Size,9,9,10,9,7,6,7,7,7,6,NA
SINOFERT HOLDINGS - Current CEO Chairman Duality,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,NA
SINOFERT HOLDINGS - CSR Sustainability Committee,N   ,N   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,NA
SINOFERT HOLDINGS - FREE FLOAT NOSH,25,25,25,25,25,25,25,25,25,25,25
CHINA TRADITIONAL CHI - Board Size,NA,NA,NA,11,12,12,12,12,12,11,NA
CHINA TRADITIONAL CHI - Current CEO Chairman Duality,NA,NA,NA,N   ,N   ,N   ,N   ,N   ,N   ,N   ,NA
CHINA TRADITIONAL CHI - CSR Sustainability Committee,NA,NA,NA,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,NA
CHINA TRADITIONAL CHI - FREE FLOAT NOSH,34,45,39,42,48,51,50,50,56,56,56
WHARF REAL ESTATE - Board Size,NA,NA,NA,8,10,9,9,10,12,12,NA
WHARF REAL ESTATE - Current CEO Chairman Duality,NA,NA,NA,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,NA
WHARF REAL ESTATE - CSR Sustainability Committee,NA,NA,NA,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,NA
WHARF REAL ESTATE - FREE FLOAT NOSH,NA,NA,NA,NA,38,38,36,57,57,57,55
HENGDELI HOLDINGS - Board Size,7,7,8,8,7,7,7,7,7,7,NA
HENGDELI HOLDINGS - Current CEO Chairman Duality,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,N   ,N   ,NA
HENGDELI HOLDINGS - CSR Sustainability Committee,N   ,N   ,N   ,N   ,N   ,N   ,N   ,Y   ,Y   ,Y   ,NA
HENGDELI HOLDINGS - FREE FLOAT NOSH,48,47,47,46,43,52,58,56,56,56,59
XINYI GLASS HOLDINGS - Board Size,NA,NA,NA,NA,13,13,13,13,12,12,NA
XINYI GLASS HOLDINGS - Current CEO Chairman Duality,NA,NA,NA,NA,N   ,N   ,N   ,N   ,N   ,N   ,NA
XINYI GLASS HOLDINGS - CSR Sustainability Committee,NA,NA,NA,NA,N   ,N   ,N   ,N   ,N   ,Y   ,NA
XINYI GLASS HOLDINGS - FREE FLOAT NOSH,54,58,56,56,56,55,55,54,52,52,51
YUE YUEN INDL.HDG. - Board Size,14,14,13,14,12,12,11,11,10,10,NA
YUE YUEN INDL.HDG. - Current CEO Chairman Duality,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,NA
YUE YUEN INDL.HDG. - CSR Sustainability Committee,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,NA
YUE YUEN INDL.HDG. - FREE FLOAT NOSH,44,44,43,43,43,49,49,49,49,49,49
SAMSUNG FIRE & MAR.IN. - Board Size,7,7,8,6,8,7,7,8,7,7,NA
SAMSUNG FIRE & MAR.IN. - Current CEO Chairman Duality,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,NA
SAMSUNG FIRE & MAR.IN. - CSR Sustainability Committee,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,NA
SAMSUNG FIRE & MAR.IN. - FREE FLOAT NOSH,75,78,77,76,77,76,75,76,76,77,78
ALTEOGEN - Board Size,NA,NA,NA,NA,NA,8,4,7,7,7,5
ALTEOGEN - Current CEO Chairman Duality,NA,NA,NA,NA,NA,N   ,N   ,N   ,N   ,N   ,N   
ALTEOGEN - CSR Sustainability Committee,NA,NA,NA,NA,NA,N   ,Y   ,Y   ,Y   ,Y   ,Y   
ALTEOGEN - FREE FLOAT NOSH,NA,50,70,72,72,79,80,74,74,74,75
AMOREPACIFIC - Board Size,11,9,8,7,8,9,9,9,10,10,NA
AMOREPACIFIC - Current CEO Chairman Duality,N   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,NA
AMOREPACIFIC - CSR Sustainability Committee,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,NA
AMOREPACIFIC - FREE FLOAT NOSH,47,26,46,40,40,48,45,45,45,44,44
HYUNDAI WIA - Board Size,7,7,6,7,9,7,7,7,8,6,NA
HYUNDAI WIA - Current CEO Chairman Duality,N   ,N   ,N   ,N   ,Y   ,Y   ,Y   ,N   ,N   ,N   ,NA
HYUNDAI WIA - CSR Sustainability Committee,N   ,N   ,N   ,N   ,N   ,N   ,N   ,Y   ,Y   ,Y   ,NA
HYUNDAI WIA - FREE FLOAT NOSH,48,49,46,54,51,49,51,51,52,52,52
DOOSAN BOBCAT - Board Size,NA,NA,NA,6,8,5,6,5,5,6,NA
DOOSAN BOBCAT - Current CEO Chairman Duality,NA,NA,NA,N   ,N   ,N   ,N   ,N   ,N   ,N   ,NA
DOOSAN BOBCAT - CSR Sustainability Committee,NA,NA,NA,N   ,N   ,N   ,N   ,Y   ,Y   ,Y   ,NA
DOOSAN BOBCAT - FREE FLOAT NOSH,NA,NA,NA,30,24,38,42,41,42,42,47
SAMSUNG BIOLOGICS - Board Size,NA,NA,5,5,5,5,7,7,7,7,NA
SAMSUNG BIOLOGICS - Current CEO Chairman Duality,NA,NA,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,NA
SAMSUNG BIOLOGICS - CSR Sustainability Committee,NA,NA,N   ,N   ,N   ,N   ,N   ,Y   ,Y   ,Y   ,NA
SAMSUNG BIOLOGICS - FREE FLOAT NOSH,NA,NA,100,25,25,25,25,20,20,19,19
BGF - Board Size,NA,5,5,3,3,3,4,4,4,NA,NA
BGF - Current CEO Chairman Duality,NA,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,NA,NA
BGF - CSR Sustainability Committee,NA,N   ,N   ,N   ,N   ,N   ,N   ,Y   ,Y   ,NA,NA
BGF - FREE FLOAT NOSH,43,41,45,45,37,36,36,36,36,36,36
BGF RETAIL - Board Size,NA,NA,NA,NA,4,7,6,7,7,7,NA
BGF RETAIL - Current CEO Chairman Duality,NA,NA,NA,NA,N   ,N   ,N   ,N   ,N   ,N   ,NA
BGF RETAIL - CSR Sustainability Committee,NA,NA,NA,NA,N   ,N   ,N   ,Y   ,Y   ,Y   ,NA
BGF RETAIL - FREE FLOAT NOSH,NA,NA,NA,100,52,46,46,45,50,49,49
SK - Board Size,9,8,8,7,8,9,9,9,9,9,NA
SK - Current CEO Chairman Duality,N   ,N   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,NA
SK - CSR Sustainability Committee,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,NA
SK - FREE FLOAT NOSH,52,37,61,61,60,66,66,67,67,68,68
CHEIL WORLDWIDE - Board Size,6,5,5,4,4,7,5,5,5,5,NA
CHEIL WORLDWIDE - Current CEO Chairman Duality,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,NA
CHEIL WORLDWIDE - CSR Sustainability Committee,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,NA
CHEIL WORLDWIDE - FREE FLOAT NOSH,65,51,54,54,59,62,64,64,64,66,64
HD HYUNDAI CONSTRUCTION - Board Size,NA,NA,NA,NA,NA,5,5,5,5,5,NA
HD HYUNDAI CONSTRUCTION - Current CEO Chairman Duality,NA,NA,NA,NA,NA,N   ,N   ,N   ,N   ,N   ,NA
HD HYUNDAI CONSTRUCTION - CSR Sustainability Committee,NA,NA,NA,NA,NA,N   ,N   ,N   ,Y   ,Y   ,NA
HD HYUNDAI CONSTRUCTION - FREE FLOAT NOSH,NA,NA,NA,61,54,59,60,61,61,59,57
CJ - Board Size,9,8,8,8,9,11,8,7,7,7,NA
CJ - Current CEO Chairman Duality,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,N   ,N   ,N   ,N   ,NA
CJ - CSR Sustainability Committee,N   ,N   ,N   ,N   ,N   ,N   ,Y   ,Y   ,Y   ,Y   ,NA
CJ - FREE FLOAT NOSH,52,50,49,49,49,50,48,51,50,50,45
CJ CHEILJEDANG - Board Size,7,7,7,6,6,7,5,8,8,7,NA
CJ CHEILJEDANG - Current CEO Chairman Duality,N   ,N   ,N   ,N   ,N   ,N   ,N   ,Y   ,Y   ,Y   ,NA
CJ CHEILJEDANG - CSR Sustainability Committee,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,NA
CJ CHEILJEDANG - FREE FLOAT NOSH,45,50,50,50,44,43,42,44,42,44,43
CELLTRION HEALTHCARE - Board Size,NA,NA,NA,12,12,11,7,8,8,NA,NA
CELLTRION HEALTHCARE - Current CEO Chairman Duality,NA,NA,NA,Y   ,N   ,N   ,N   ,N   ,N   ,NA,NA
CELLTRION HEALTHCARE - CSR Sustainability Committee,NA,NA,NA,N   ,N   ,N   ,N   ,N   ,N   ,NA,NA
CELLTRION HEALTHCARE - FREE FLOAT NOSH,NA,NA,NA,33,36,40,49,58,58,65,65
SAMSUNG C&T - Board Size,8,11,11,9,7,7,9,11,9,9,NA
SAMSUNG C&T - Current CEO Chairman Duality,N   ,N   ,N   ,N   ,Y   ,N   ,N   ,N   ,N   ,N   ,NA
SAMSUNG C&T - CSR Sustainability Committee,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,NA
SAMSUNG C&T - FREE FLOAT NOSH,NA,51,57,57,57,57,55,52,53,53,52
DONGSUH - Board Size,NA,9,7,8,6,6,4,5,5,5,NA
DONGSUH - Current CEO Chairman Duality,NA,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,NA
DONGSUH - CSR Sustainability Committee,NA,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,NA
DONGSUH - FREE FLOAT NOSH,42,43,49,51,51,51,51,51,52,51,52
DOUZONBIZON - Board Size,NA,NA,NA,NA,NA,5,4,5,6,6,NA
DOUZONBIZON - Current CEO Chairman Duality,NA,NA,NA,NA,NA,N   ,N   ,Y   ,Y   ,Y   ,NA
DOUZONBIZON - CSR Sustainability Committee,NA,NA,NA,NA,NA,N   ,N   ,N   ,N   ,Y   ,NA
DOUZONBIZON - FREE FLOAT NOSH,71,64,56,64,53,58,64,70,65,64,61
KOREA INVESTMENT HDG. - Board Size,12,7,11,11,9,9,8,8,10,12,NA
KOREA INVESTMENT HDG. - Current CEO Chairman Duality,N   ,N   ,N   ,N   ,N   ,N   ,Y   ,Y   ,Y   ,Y   ,NA
KOREA INVESTMENT HDG. - CSR Sustainability Committee,N   ,N   ,N   ,N   ,N   ,N   ,N   ,Y   ,Y   ,Y   ,NA
KOREA INVESTMENT HDG. - FREE FLOAT NOSH,64,70,71,71,70,70,66,67,69,71,71
ORION HOLDINGS - Board Size,6,4,4,3,1,4,5,5,5,5,NA
ORION HOLDINGS - Current CEO Chairman Duality,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,NA
ORION HOLDINGS - CSR Sustainability Committee,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,Y   ,Y   ,NA
ORION HOLDINGS - FREE FLOAT NOSH,61,66,64,50,14,24,23,34,33,32,33
DONGKUK HOLDINGS - Board Size,15,10,10,8,8,7,6,11,8,NA,NA
DONGKUK HOLDINGS - Current CEO Chairman Duality,Y   ,Y   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,NA,NA
DONGKUK HOLDINGS - CSR Sustainability Committee,N   ,N   ,N   ,N   ,N   ,N   ,N   ,Y   ,Y   ,NA,NA
DONGKUK HOLDINGS - FREE FLOAT NOSH,72,63,63,63,63,63,62,61,61,63,47
DL - Board Size,10,9,10,6,8,9,6,8,5,6,NA
DL - Current CEO Chairman Duality,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,NA
DL - CSR Sustainability Committee,Y   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,Y   ,Y   ,NA
DL - FREE FLOAT NOSH,65,61,65,58,59,61,65,29,49,46,41
HD HYUNDAI INFRACORE - Board Size,11,12,11,7,10,7,9,5,5,5,NA
HD HYUNDAI INFRACORE - Current CEO Chairman Duality,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,NA
HD HYUNDAI INFRACORE - CSR Sustainability Committee,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,NA
HD HYUNDAI INFRACORE - FREE FLOAT NOSH,58,52,59,64,56,64,58,25,55,57,58
YUANTA SECURITIES KOREA - Board Size,7,7,7,8,7,6,5,5,5,5,NA
YUANTA SECURITIES KOREA - Current CEO Chairman Duality,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,NA
YUANTA SECURITIES KOREA - CSR Sustainability Committee,N   ,N   ,N   ,N   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,NA
YUANTA SECURITIES KOREA - FREE FLOAT NOSH,46,47,46,46,46,45,43,43,43,42,41
MIRAE ASSET SECURITIES - Board Size,9,8,8,8,7,8,7,6,7,7,NA
MIRAE ASSET SECURITIES - Current CEO Chairman Duality,N   ,N   ,N   ,N   ,N   ,N   ,N   ,Y   ,Y   ,Y   ,NA
MIRAE ASSET SECURITIES - CSR Sustainability Committee,Y   ,Y   ,N   ,N   ,N   ,N   ,N   ,N   ,Y   ,Y   ,NA
MIRAE ASSET SECURITIES - FREE FLOAT NOSH,57,92,93,73,64,64,60,61,60,57,56
KAKAO - Board Size,NA,8,8,8,7,7,7,7,6,7,NA
KAKAO - Current CEO Chairman Duality,NA,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,NA
KAKAO - CSR Sustainability Committee,NA,N   ,N   ,N   ,N   ,N   ,Y   ,Y   ,Y   ,Y   ,NA
KAKAO - FREE FLOAT NOSH,57,53,50,50,57,58,58,62,63,64,64
HYOSUNG - Board Size,10,13,13,12,9,10,10,9,9,9,NA
HYOSUNG - Current CEO Chairman Duality,Y   ,Y   ,Y   ,Y   ,N   ,Y   ,Y   ,Y   ,Y   ,Y   ,NA
HYOSUNG - CSR Sustainability Committee,Y   ,N   ,N   ,N   ,N   ,N   ,N   ,Y   ,Y   ,Y   ,NA
HYOSUNG - FREE FLOAT NOSH,64,60,53,52,52,37,37,36,38,39,41
E-MART - Board Size,9,8,8,8,6,8,9,8,9,8,NA
E-MART - Current CEO Chairman Duality,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,NA
E-MART - CSR Sustainability Committee,N   ,N   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,NA
E-MART - FREE FLOAT NOSH,49,54,51,63,62,56,58,61,61,63,63
MISTO HOLDINGS - Board Size,NA,NA,NA,NA,NA,7,7,7,7,7,NA
MISTO HOLDINGS - Current CEO Chairman Duality,NA,NA,NA,NA,NA,N   ,N   ,N   ,N   ,N   ,NA
MISTO HOLDINGS - CSR Sustainability Committee,NA,NA,NA,NA,NA,N   ,N   ,N   ,N   ,Y   ,NA
MISTO HOLDINGS - FREE FLOAT NOSH,53,51,46,43,42,51,60,63,63,57,58
LS ELECTRIC - Board Size,9,7,6,7,7,7,8,8,5,8,NA
LS ELECTRIC - Current CEO Chairman Duality,N   ,N   ,Y   ,Y   ,Y   ,N   ,Y   ,Y   ,Y   ,Y   ,NA
LS ELECTRIC - CSR Sustainability Committee,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,NA
LS ELECTRIC - FREE FLOAT NOSH,36,34,41,42,41,43,34,42,41,40,40
HYUNDAI GLOVIS - Board Size,11,9,9,9,8,9,9,10,9,9,NA
HYUNDAI GLOVIS - Current CEO Chairman Duality,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,Y   ,NA
HYUNDAI GLOVIS - CSR Sustainability Committee,N   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,NA
HYUNDAI GLOVIS - FREE FLOAT NOSH,48,46,47,48,47,48,47,51,48,50,50
GS RETAIL - Board Size,NA,10,8,10,10,10,7,7,7,7,NA
GS RETAIL - Current CEO Chairman Duality,NA,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,NA
GS RETAIL - CSR Sustainability Committee,NA,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,Y   ,NA
GS RETAIL - FREE FLOAT NOSH,34,29,27,28,34,29,28,28,34,32,34
GS HOLDINGS - Board Size,10,10,9,10,10,9,7,7,7,7,NA
GS HOLDINGS - Current CEO Chairman Duality,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,NA
GS HOLDINGS - CSR Sustainability Committee,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,NA
GS HOLDINGS - FREE FLOAT NOSH,91,87,83,78,77,80,85,86,88,88,88
LS - Board Size,10,9,9,7,7,7,7,7,7,7,NA
LS - Current CEO Chairman Duality,Y   ,Y   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,NA
LS - CSR Sustainability Committee,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,NA
LS - FREE FLOAT NOSH,88,91,91,89,80,80,81,87,87,86,87
HYUNDAI MOBIS - Board Size,8,7,6,7,5,9,9,9,9,9,NA
HYUNDAI MOBIS - Current CEO Chairman Duality,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,NA
HYUNDAI MOBIS - CSR Sustainability Committee,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,NA
HYUNDAI MOBIS - FREE FLOAT NOSH,62,63,62,61,61,59,58,60,60,61,61
HANON SYSTEMS - Board Size,14,13,13,14,14,15,13,14,14,15,NA
HANON SYSTEMS - Current CEO Chairman Duality,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,NA
HANON SYSTEMS - CSR Sustainability Committee,N   ,N   ,N   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,NA
HANON SYSTEMS - FREE FLOAT NOSH,24,11,30,30,24,24,24,25,25,25,30
HDC OP - Board Size,NA,NA,NA,NA,NA,5,7,7,7,7,NA
