No,ISIN CODE,Year,PRICE TO BOOK VAL,RETURN ON ASSETS,TOTAL DEBT % COMMON EQUITY
69,JP3937200008,2017,1.66,5.12,8.52
70,JP3830000000,2014,1.11,4.37,5.96
70,JP3830000000,2015,1.51,10.54,5.67
70,JP3830000000,2016,0.95,5.15,50.82
70,JP3830000000,2017,1.59,7.34,41.11
71,JP3676800000,2014,0.87,3.28,3.24
71,JP3676800000,2015,1.24,3.19,6
71,JP3676800000,2016,1.43,3.24,5.59
71,JP3676800000,2017,1.38,3.56,4.02
72,JP3161200005,2014,0.98,4.91,17
72,JP3161200005,2015,2.07,8.24,8
72,JP3161200005,2016,2.01,5.11,3.88
72,JP3161200005,2017,1.96,6.09,17.02
73,JP3830800003,2014,1.28,8.41,28.54
73,JP3830800003,2015,1.71,7.66,19.97
73,JP3830800003,2016,1.25,7.33,14.99
73,JP3830800003,2017,1.52,7.81,19.57
74,JP3289800009,2014,0.63,3.83,126.86
74,JP3289800009,2015,1.17,4.42,94.63
74,JP3289800009,2016,0.55,-0.28,122.03
74,JP3289800009,2017,0.51,-0.43,127.66
75,JP3935600001,2014,1.06,1.96,53.32
75,JP3935600001,2015,1.66,1.73,41.26
75,JP3935600001,2016,2.05,2.76,33.73
75,JP3935600001,2017,1.6,3.66,32.16
76,JP3220580009,2014,3.19,9.17,0.19
76,JP3220580009,2015,5.47,9.41,0.51
76,JP3220580009,2016,4.27,10.08,0.46
76,JP3220580009,2017,4.12,10.57,1.24
77,JP3218900003,2014,1.35,3.57,12.43
77,JP3218900003,2015,1.7,6.94,16.91
77,JP3218900003,2016,1.83,7.48,18.27
77,JP3218900003,2017,1.57,7.99,21.87
78,JP3209000003,2014,1.59,4.72,47.88
78,JP3209000003,2015,2.86,7.42,38.95
78,JP3209000003,2016,2.15,8.57,39.33
78,JP3209000003,2017,2.09,5.26,38.3
79,JP3424950008,2014,1.1,1.25,881.55
79,JP3424950008,2015,1.3,1.14,831.04
79,JP3424950008,2016,1.17,1.25,800.84
79,JP3424950008,2017,1.04,1.27,773.15
80,JP3511800009,2014,0.62,0.41,53.67
80,JP3511800009,2015,0.93,0.47,67.51
80,JP3511800009,2016,0.5,0.44,81.13
80,JP3511800009,2017,0.61,0.41,107.32
81,JP3305530002,2014,1.05,6.71,0.95
81,JP3305530002,2015,1,6.54,0.24
81,JP3305530002,2016,1.01,5.83,0.27
81,JP3305530002,2017,1.14,5.27,0.21
83,JP3409000001,2014,2.51,2.09,408.94
83,JP3409000001,2015,2.59,2.23,372.48
83,JP3409000001,2016,1.44,2.27,356.36
83,JP3409000001,2017,1.32,2.47,335
84,JP3526600006,2014,0.61,-0.41,233.75
