ISIN CODE,NAME,No,Country of Domicile
JP3459600007,TAKARA HOLDING ,466,JAPAN
JP3634600005,TOYOTA INDUSTRIES ,467,JAPAN
JP3635400009,TOYOTA BOSHOKU CORP ,468,JAPAN
JP3634200004,TOYODA GOSEI CO. ,469,JAPAN
JP3633400001,TOYOTA MOTOR CORP ,470,JAPAN
JP3635000007,TOYOTA TSUSHO CORP ,471,JAPAN
JP3573000001,"TOKYO GAS CO., LTD. ",472,JAPAN
JP3158800007,UBE CORP ,473,JAPAN
JP3371200001,SHIN-ETSU CHEMICAL,474,JAPAN
JP3870400003,MARUI GROUP CO ,475,JAPAN
JP3404600003,SUMITOMO CORP ,476,JAPAN
JP3605400005,TOHOKU ELEC. POWER ,477,JAPAN
JP3902400005,MITSUBISHI ELECTRIC ,478,JAPAN
JP3322930003,SUMCO CORP ,479,JAPAN
JP3951600000,UNICHARM CORP ,480,JAPAN
JP3156400008,USHIO INC. ,481,JAPAN
JP3944130008,USS CO LTD ,482,JAPAN
JP3045540006,UNITED URBAN INVEST ,483,JAPAN
JP3246400000,KYUSHU ELECTRIC ,484,JAPAN
JP3196000008,ODAKYU ELECTRIC RAIL ,485,JAPAN
JP3819400007,FUJI MEDIA HOLDING ,486,JAPAN
JP3144000001,ITOCHU ENEX CO LTD ,487,JAPAN
JP3274280001,WELCIA HOLDINGS CO ,488,JAPAN
JP3659000008,WEST JAPAN RAILWAY ,489,JAPAN
