No,ISIN CODE,Year,NET CASH FLOW - FINANCING,INCREASE/DECREASE IN CASH/SHOR,NET CASH FLOW - INVESTING,NET CASH FLOW-OPERATING ACTIVS,"PROPERTY, PLANT & EQUIP - NET",CASH DIVIDENDS PAID - TOTAL,CASH & SHORT TERM INVESTMENTS,CASH,TOTAL DEBT,TOTAL CAPITAL,MARKET VALUE,TOTAL SHAREHOLDERS EQUITY,WORKING CAPITAL,TOTAL ASSETS,RETAINED EARNINGS,EARNINGS BEF INTEREST & TAXES,TOTAL LIABILITIES,NET SALES OR REVENUES,FREE CASH FLOW,CASH - GENERIC,BOOK VALUE PER SHARE,OPERATING INCOME,DEPRECIATION,AMORT & IMPAIR OF GOODWILL,AMORTIZATION OF DEFERRED CHARG,AMORTIZATION-INTANGIBLE ASSETS,AMORTIZATION OF INTANGIBLES,DEPRECIATION/DEPLETION/AMORT,SALARIES & BENEFITS EXPENSES,Salaries and Wages from CSR reporting,RESEARCH & DEVELOPMENT
55,JP3119600009,2019,-78923000,-34143000,72923000,118457000,423369000,18455000,170251000,153725000,338401000,998788000,1030230,610311000,299411000,1378280000,595295000,57554000,692552000,1127483000,129104000,170251000,1113.503,86268000,45300000,,1000,7185000,7184000,52485000,209262000,,25204000
55,JP3119600009,2020,-52306000,-12024000,66651000,114858000,454357000,17555000,150647000,141701000,413729000,916609000,1259780,539233000,203335000,1335835000,574285000,52189000,743507000,1100039000,136093000,150647000,983.662,84576000,54116000,,0,7870000,7870000,61986000,206134000,,24789000
55,JP3119600009,2021,-60387000,39908000,66247000,162651000,486443000,17526000,193687000,181609000,406822000,1009604000,1930858,620641000,248830000,1416752000,607312000,102128000,748522000,1071453000,154682000,193687000,1131.524,98354000,55400000,,0,,7644000,63044000,210501000,,23080000
55,JP3119600009,2022,-123055000,-30155000,61567000,145576000,522312000,27273000,169264000,151454000,364401000,1054102000,2212423,686469000,256788000,1450043000,616287000,126058000,710740000,1149370000,128440000,169264000,1279.683,110981000,57577000,,2000,8657000,8655000,66234000,219306000,,21970000
55,JP3119600009,2023,-111061000,-18677000,30087000,117640000,536565000,31630000,145089000,132777000,336497000,1104922000,2800604,770112000,275893000,1502765000,652305000,144132000,678361000,1359115000,132662000,145089000,1454.956,123150000,62410000,,0,,9337000,71747000,246168000,,23013000
55,JP3119600009,2024,-6753000,38759000,132434000,168073000,587407000,38406000,194187000,171537000,491676000,1182220000,2994481,816816000,208167000,1765930000,657780000,147135000,879741000,1439231000,189537000,194187000,1593.58,135770000,68004000,,0,,10291000,78295000,264380000,,26027000
56,JP3117700009,2014,263422000,187307000,100309000,24165000,23378000,5670000,,,193562000,386607000,142297.7,241135000,,5610328000,75375000,29854000,5369193000,106293000,22950000,344369000,741.954,28272000,,6202000,,,,9904000,,,
56,JP3117700009,2015,197596000,21344000,190048000,13754000,24291000,2832000,,,235408000,510812000,165625.2,287121000,,5863635000,94474000,23041000,5576514000,95145000,14587000,365322000,861.578,21065000,,6202000,,,,9648000,19861000,,
56,JP3117700009,2016,207188000,72438000,154003000,19274000,24424000,3332000,,,355287000,420150000,440966.5,303105000,,6105453000,113594000,31918000,5802348000,100970000,45296000,437509000,909.542,30356000,,6202000,,,,9697000,20165000,,
56,JP3117700009,2017,651341000,973179000,264086000,585895000,117732000,11230000,,,1245972000,1304123000,561230.1,863086000,,16122843000,461824000,171927000,15258256000,208385000,542975000,1393762000,732.825,52255000,,-158000,,,,7169000,48878000,,
56,JP3117700009,2018,632897000,323673000,344306000,36878000,115146000,14133000,,,1440459000,1305114000,404415.8,888139000,,16767764000,489913000,66968000,15878282000,254919000,50096000,1708734000,754.02,63522000,,-158000,,,,8496000,58243000,,
56,JP3117700009,2019,398442000,-258939000,787536000,128723000,112518000,12930000,,,1607301000,1345808000,337209.6,919547000,,17370992000,524025000,71256000,16450260000,270821000,178627000,1492052000,783.871,69533000,,-158000,,,,8604000,57511000,,
56,JP3117700009,2020,477276000,482031000,35630000,40404000,109693000,12904000,,,1716803000,1359515000,254675.8,882235000,,17802888000,547518000,55282000,16919626000,264561000,-3620000,1935325000,761,53180000,,-158000,,,,8450000,56264000,,
56,JP3117700009,2021,4458900000,4506424000,-9121000,38381000,107412000,12755000,,,5101183000,1819394000,280615,998906000,,22833900000,571142000,54076000,21834125000,260184000,50444000,6427725000,861.192,54109000,,-158000,,,,9386000,56033000,,
56,JP3117700009,2022,1098530000,841563000,250091000,-6656000,102802000,12431000,,,5823081000,1997663000,315825.9,959063000,,24123283000,602824000,61415000,23163509000,260753000,-96356000,7272695000,888.222,64992000,,-158000,,,,9373000,56097000,,
