no,year,icbcode,gap,gap_e,gap_s,es,e,s,esdis,edis,sdis,family,gov,instit,g,size,lev,roa,mtb,country,capitalism,legal,kz,boardSize,CSRcmte,CEOdual,freeFloatShareholding,insiderShareholding,country_name,industry_name,year_2016,year_2017,year_2018,year_2019,year_2020,year_2021,year_2022,year_2023,industry_1010,industry_1510,industry_2010,industry_3010,industry_3020,industry_3030,industry_3510,industry_4010,industry_4020,industry_4030,industry_4040,industry_4050,industry_4510,industry_4520,industry_5010,industry_5020,industry_5510,industry_5520,industry_6010,industry_6510,g_family,g_gov,propensity_score,_weight
4.0,2016,6010,-0.01,-0.05,0.02,21.94,20.51,23.37,20.58,15.94684385,25.21160822,1.0,0.0,0.0,26.54,10.19,0.592,0.0698,0.036,2.0,1.0,1.0,0.83393,3.0,0.0,0.0,0.35,0.020130904,Indonesia,Energy,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,26.54,0.0,0.5173931574021045,1
4.0,2017,6010,-0.08,-0.04,-0.12,32.8,24.93,40.67,25.07,21.11144669,29.02055623,1.0,0.0,0.0,52.41,10.22,0.4198,0.0762,0.0338,2.0,1.0,1.0,-0.43888,3.0,0.0,0.0,0.34,0.020130904,Indonesia,Energy,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,52.41,0.0,0.493880107939341,1
4.0,2018,6010,-0.11,-0.07,-0.15,37.91,31.09,44.73,27.14,24.49411054,29.77629988,1.0,0.0,0.0,49.2,10.29,0.5053,0.0944,0.0279,2.0,1.0,1.0,-0.68829,3.0,0.0,0.0,0.42,0.020130904,Indonesia,Energy,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,49.2,0.0,0.5007686154617398,1
4.0,2019,6010,-0.11,0.03,-0.24,46.72,36.69,56.75,36.05,39.74630021,32.3458283,1.0,0.0,0.0,63.52,10.33,0.553,0.0393,0.0235,2.0,1.0,1.0,0.21009,3.0,0.0,0.0,0.36,0.020130904,Indonesia,Energy,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,63.52,0.0,0.4704895187238142,1
4.0,2020,6010,-0.13,0.0,-0.26,48.95,39.63,58.26,35.93,39.74630021,32.10399033,1.0,0.0,0.0,70.31,10.27,0.4703,0.0497,0.0089,2.0,1.0,1.0,0.54364,3.0,0.0,0.0,0.4,0.020130904,Indonesia,Energy,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,70.31,0.0,0.473973135463832,1
4.0,2021,6010,-0.02,0.06,-0.1,41.27,38.91,43.63,39.28,44.60887949,33.94800484,1.0,0.0,0.0,84.61,10.37,0.3272,0.0555,0.0136,2.0,1.0,1.0,-0.37651,3.0,0.0,0.0,0.4,0.020130904,Indonesia,Energy,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,84.61,0.0,0.4575451060994011,1
4.0,2022,6010,-0.11,-0.02,-0.2,51.72,52.5,50.93,40.86,50.34732709,31.37847642,1.0,0.0,0.0,80.41,10.43,0.275,0.0975,0.0166,2.0,1.0,1.0,-0.97864,3.0,1.0,0.0,0.4,0.020130904,Indonesia,Energy,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,80.41,0.0,0.394460636214291,1
4.0,2023,6010,-0.14,-0.06,-0.23,52.68,50.12,55.24,38.19,44.60887949,31.77146312,1.0,0.0,0.0,68.41,10.48,0.411,0.0995,0.028,2.0,1.0,1.0,-2.75424,3.0,1.0,0.0,0.4,0.020130904,Indonesia,Energy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,68.41,0.0,0.3954355481240021,1
5.0,2015,4010,0.05,0.21,-0.11,29.55,26.71,32.38,35.03,48.20295983,21.85610641,1.0,0.0,0.0,50.92,11.38,0.6923,0.0654,0.0311,2.0,1.0,1.0,0.48933,11.0,0.0,0.0,0.42,0.000825666,Indonesia,Automobiles and Parts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.92,0.0,0.35821751264988094,1
5.0,2016,4010,0.11,0.23,0.0,26.27,27.42,25.12,37.67,49.92449411,25.42321644,1.0,0.0,0.0,47.31,11.41,0.6334,0.0663,0.023,2.0,1.0,1.0,0.6861,12.0,0.0,0.0,0.42,0.000825666,Indonesia,Automobiles and Parts,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.31,0.0,0.35026344519457037,1
5.0,2017,4010,0.0,0.15,-0.14,37.28,34.96,39.59,37.67,49.92449411,25.42321644,1.0,0.0,0.0,40.82,11.46,0.6064,0.0746,0.0286,2.0,1.0,1.0,0.66974,12.0,0.0,0.0,0.43,0.000825666,Indonesia,Automobiles and Parts,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.82,0.0,0.35566565481145074,1
5.0,2018,4010,-0.09,0.09,-0.27,45.48,41.39,49.56,36.39,49.92449411,22.85368803,1.0,0.0,0.0,40.21,11.53,0.6274,0.0763,0.0235,2.0,1.0,1.0,0.72539,10.0,0.0,0.0,0.5,0.000825666,Indonesia,Automobiles and Parts,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.21,0.0,0.378273867326343,1
5.0,2019,4010,-0.02,0.22,-0.27,40.44,34.37,46.51,38.23,56.75022652,19.70979444,1.0,0.0,0.0,41.9,11.54,0.6243,0.0731,0.0207,2.0,1.0,1.0,0.82251,10.0,1.0,0.0,0.5,0.000825666,Indonesia,Automobiles and Parts,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.9,0.0,0.30492362795526395,1
5.0,2020,4010,-0.05,-0.01,-0.08,48.72,58.19,39.24,43.82,56.75022652,30.89480048,1.0,0.0,0.0,39.4,11.52,0.5106,0.0561,0.0106,2.0,1.0,1.0,0.55385,10.0,1.0,0.0,0.5,0.000825666,Indonesia,Automobiles and Parts,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.4,0.0,0.3017890577269127,1
